x,y,time
4.36,9.13,1569695777.2
4.42,9.09,1569695777.3
4.44,9.09,1569695777.4
4.45,9.10,1569695777.5
4.43,9.10,1569695777.6
4.39,9.12,1569695777.7
4.41,9.12,1569695777.8
4.42,9.15,1569695777.9
4.43,9.15,1569695778.0
4.46,9.15,1569695778.1
4.45,9.16,1569695778.2
4.48,9.15,1569695778.3
4.44,9.16,1569695778.4
4.41,9.16,1569695778.5
4.41,9.24,1569695778.6
4.37,9.19,1569695778.7
4.37,9.18,1569695778.8
4.40,9.21,1569695778.9
4.42,9.17,1569695779.0
4.39,9.13,1569695779.1
4.38,9.09,1569695779.2
4.36,9.11,1569695779.3
4.37,9.12,1569695779.4
4.37,9.09,1569695779.5
4.38,9.12,1569695779.6
4.38,9.12,1569695779.7
4.39,9.13,1569695779.8
4.41,9.15,1569695779.9
4.43,9.14,1569695780.0
4.39,9.16,1569695780.1
4.37,9.12,1569695780.2
4.43,9.04,1569695780.3
4.57,8.95,1569695780.4
4.83,8.98,1569695780.5
5.23,9.04,1569695780.6
5.74,9.09,1569695780.7
6.35,9.19,1569695780.8
6.90,9.26,1569695780.9
7.38,9.28,1569695781.0
7.78,9.08,1569695781.1
8.02,8.70,1569695781.2
8.15,8.13,1569695781.3
8.42,7.60,1569695781.4
8.77,7.08,1569695781.5
9.19,6.39,1569695781.6
9.68,5.83,1569695781.7
10.22,5.31,1569695781.8
11.01,4.94,1569695781.9
11.59,4.50,1569695782.0
12.02,4.03,1569695782.1
12.36,3.71,1569695782.2
12.76,3.34,1569695782.3
13.18,3.04,1569695782.4
13.41,2.78,1569695782.5
13.58,2.52,1569695782.6
13.85,2.43,1569695782.7
14.07,2.34,1569695782.8
14.10,2.29,1569695782.9
14.14,2.27,1569695783.0
14.15,2.24,1569695783.1
14.15,2.24,1569695783.2
14.24,2.18,1569695783.3
14.35,2.15,1569695783.4
14.50,2.13,1569695783.5
14.56,2.15,1569695783.6
14.64,2.15,1569695783.7
14.75,2.14,1569695783.8
14.80,2.18,1569695783.9
14.79,2.24,1569695784.0
14.80,2.23,1569695784.1
14.82,2.23,1569695784.2
14.79,2.20,1569695784.3
14.70,2.22,1569695784.4
14.65,2.18,1569695784.5
14.50,2.24,1569695784.6
14.19,2.43,1569695784.7
13.91,2.66,1569695784.8
13.57,2.97,1569695784.9
13.24,3.22,1569695785.0
12.66,3.45,1569695785.1
12.28,3.62,1569695785.2
11.92,3.72,1569695785.3
11.35,3.77,1569695785.4
10.76,3.69,1569695785.5
10.01,3.51,1569695785.6
9.42,3.40,1569695785.7
8.60,3.26,1569695785.8
7.83,3.12,1569695785.9
7.07,2.96,1569695786.0
6.42,2.83,1569695786.1
5.81,2.79,1569695786.2
5.15,2.73,1569695786.3
4.56,2.54,1569695786.4
4.04,2.40,1569695786.5
3.57,2.29,1569695786.6
2.99,2.23,1569695786.7
2.49,2.21,1569695786.8
1.96,2.17,1569695786.9
1.52,2.19,1569695787.0
1.05,2.14,1569695787.1
0.73,2.10,1569695787.2
0.53,2.05,1569695787.3
0.37,2.01,1569695787.4
0.34,1.98,1569695787.5
0.33,1.98,1569695787.6
0.33,1.99,1569695787.7
0.34,1.99,1569695787.8
0.35,2.00,1569695787.9
0.36,2.01,1569695788.0
0.36,2.01,1569695788.1
0.37,2.02,1569695788.2
0.38,2.03,1569695788.3
0.40,2.04,1569695788.4
0.57,2.04,1569695788.5
0.84,2.03,1569695788.6
1.06,2.02,1569695788.7
1.42,2.06,1569695788.8
1.95,2.18,1569695788.9
2.58,2.30,1569695789.0
