x,y,time
4.49,9.19,1569705679.1
4.52,9.22,1569705679.2
4.60,9.24,1569705679.3
4.65,9.23,1569705679.4
4.60,9.23,1569705679.5
4.66,9.23,1569705679.6
4.72,9.25,1569705679.7
4.72,9.24,1569705679.8
4.57,9.26,1569705679.9
4.52,9.27,1569705680.0
4.56,9.28,1569705680.1
4.50,9.26,1569705680.2
4.43,9.21,1569705680.3
4.43,9.24,1569705680.4
4.52,9.26,1569705680.5
4.52,9.25,1569705680.6
4.49,9.17,1569705680.7
4.64,9.03,1569705680.8
4.67,9.07,1569705680.9
4.63,9.05,1569705681.0
4.61,8.99,1569705681.1
4.61,8.98,1569705681.2
4.58,9.05,1569705681.3
4.49,9.23,1569705681.4
4.53,9.26,1569705681.5
4.60,9.26,1569705681.6
4.61,9.31,1569705681.7
4.64,9.30,1569705681.8
4.67,9.29,1569705681.9
4.72,9.29,1569705682.0
4.75,9.24,1569705682.1
4.87,9.24,1569705682.2
5.11,9.18,1569705682.3
5.49,9.27,1569705682.4
6.02,9.29,1569705682.5
6.51,9.32,1569705682.6
7.03,9.32,1569705682.7
7.53,9.29,1569705682.8
7.99,9.22,1569705682.9
8.16,8.83,1569705683.0
8.56,8.54,1569705683.1
8.60,7.95,1569705683.2
8.83,7.44,1569705683.3
9.15,6.89,1569705683.4
9.52,6.35,1569705683.5
10.28,6.03,1569705683.6
10.65,5.51,1569705683.7
11.37,5.10,1569705683.8
12.00,4.71,1569705683.9
12.51,4.30,1569705684.0
12.92,3.86,1569705684.1
13.11,3.42,1569705684.2
13.45,3.14,1569705684.3
13.84,2.95,1569705684.4
14.08,2.66,1569705684.5
14.28,2.44,1569705684.6
14.50,2.33,1569705684.7
14.72,2.21,1569705684.8
14.79,2.11,1569705684.9
14.79,2.02,1569705685.0
14.77,2.03,1569705685.1
14.83,2.05,1569705685.2
14.76,2.10,1569705685.3
14.57,2.12,1569705685.4
14.53,2.16,1569705685.5
14.57,2.25,1569705685.6
14.54,2.28,1569705685.7
14.47,2.30,1569705685.8
14.58,2.31,1569705685.9
14.75,2.34,1569705686.0
14.73,2.27,1569705686.1
14.76,2.28,1569705686.2
14.78,2.29,1569705686.3
14.71,2.37,1569705686.4
14.45,2.43,1569705686.5
14.22,2.56,1569705686.6
13.99,2.81,1569705686.7
13.59,2.98,1569705686.8
13.14,3.20,1569705686.9
12.70,3.35,1569705687.0
12.28,3.48,1569705687.1
11.75,3.50,1569705687.2
11.29,3.45,1569705687.3
10.94,3.41,1569705687.4
10.74,3.34,1569705687.5
10.62,3.28,1569705687.6
10.61,3.22,1569705687.7
10.77,3.21,1569705687.8
10.92,3.20,1569705687.9
11.08,3.19,1569705688.0
11.24,3.18,1569705688.1
11.40,3.17,1569705688.2
11.56,3.16,1569705688.3
11.72,3.14,1569705688.4
11.87,3.13,1569705688.5
12.03,3.12,1569705688.6
12.19,3.11,1569705688.7
12.35,3.10,1569705688.8
12.51,3.09,1569705688.9
12.66,3.08,1569705689.0
12.82,3.07,1569705689.1
12.98,3.06,1569705689.2
13.14,3.05,1569705689.3
13.30,3.04,1569705689.4
13.46,3.03,1569705689.5
13.62,3.01,1569705689.6
13.77,3.00,1569705689.7
13.93,2.99,1569705689.8
14.09,2.98,1569705689.9
14.25,2.97,1569705690.0
14.41,2.96,1569705690.1
14.57,2.95,1569705690.2
14.73,2.94,1569705690.3
14.88,2.92,1569705690.4
15.04,2.91,1569705690.5
15.20,2.90,1569705690.6
15.36,2.89,1569705690.7
15.52,2.88,1569705690.8
15.67,2.87,1569705690.9
15.83,2.86,1569705691.0
15.99,2.85,1569705691.1
16.15,2.84,1569705691.2
16.31,2.82,1569705691.3
16.47,2.81,1569705691.4
16.63,2.80,1569705691.5
16.78,2.79,1569705691.6
16.94,2.78,1569705691.7
17.10,2.77,1569705691.8
17.26,2.76,1569705691.9
17.42,2.75,1569705692.0
17.58,2.74,1569705692.1
17.74,2.73,1569705692.2
17.89,2.72,1569705692.3
18.05,2.71,1569705692.4
18.21,2.70,1569705692.5
18.37,2.69,1569705692.6
18.53,2.67,1569705692.7
18.68,2.66,1569705692.8
18.84,2.65,1569705692.9
19.00,2.64,1569705693.0
19.16,2.63,1569705693.1
19.32,2.62,1569705693.2
19.48,2.61,1569705693.3
19.63,2.60,1569705693.4
19.79,2.59,1569705693.5
19.95,2.58,1569705693.6
20.11,2.56,1569705693.7
20.27,2.55,1569705693.8
20.43,2.54,1569705693.9
20.59,2.53,1569705694.0
20.75,2.52,1569705694.1
20.90,2.51,1569705694.2
21.06,2.50,1569705694.3
21.22,2.49,1569705694.4
21.38,2.47,1569705694.5
21.54,2.46,1569705694.6
21.69,2.45,1569705694.7
21.85,2.44,1569705694.8
22.01,2.43,1569705694.9
22.17,2.42,1569705695.0
22.33,2.41,1569705695.1
22.49,2.40,1569705695.2
22.64,2.39,1569705695.3
22.79,2.39,1569705695.4
22.93,2.39,1569705695.5
23.00,2.38,1569705695.6
23.05,2.34,1569705695.7
23.11,2.38,1569705695.8
23.17,2.51,1569705695.9
23.15,2.67,1569705696.0
23.15,2.90,1569705696.1
23.19,3.18,1569705696.2
23.14,3.55,1569705696.3
23.09,3.87,1569705696.4
22.97,4.13,1569705696.5
22.89,4.35,1569705696.6
22.77,4.47,1569705696.7
22.68,4.57,1569705696.8
22.67,4.63,1569705696.9
22.64,4.63,1569705697.0
22.67,4.61,1569705697.1
22.73,4.60,1569705697.2
22.82,4.64,1569705697.3
22.81,4.62,1569705697.4
22.84,4.51,1569705697.5
22.88,4.39,1569705697.6
22.88,4.28,1569705697.7
22.92,4.09,1569705697.8
22.88,3.88,1569705697.9
22.86,3.71,1569705698.0
22.80,3.62,1569705698.1
22.66,3.61,1569705698.2
22.45,3.66,1569705698.3
22.11,3.90,1569705698.4
21.72,4.22,1569705698.5
21.14,4.62,1569705698.6
20.43,5.02,1569705698.7
19.59,5.49,1569705698.8
18.66,5.82,1569705698.9
17.77,6.06,1569705699.0
16.78,6.20,1569705699.1
15.89,6.27,1569705699.2
14.94,6.13,1569705699.3
14.06,5.89,1569705699.4
13.16,5.68,1569705699.5
12.27,5.28,1569705699.6
11.37,4.85,1569705699.7
10.43,4.34,1569705699.8
9.57,3.90,1569705699.9
8.75,3.48,1569705700.0
7.98,3.06,1569705700.1
7.11,2.75,1569705700.2
6.35,2.54,1569705700.3
5.64,2.40,1569705700.4
5.04,2.34,1569705700.5
4.33,2.26,1569705700.6
3.69,2.19,1569705700.7
3.03,2.21,1569705700.8
2.40,2.16,1569705700.9
1.85,2.25,1569705701.0
1.33,2.30,1569705701.1
0.93,2.37,1569705701.2
0.62,2.44,1569705701.3
0.48,2.43,1569705701.4
0.36,2.44,1569705701.5
0.32,2.32,1569705701.6
0.27,2.25,1569705701.7
0.22,2.18,1569705701.8
0.20,2.12,1569705701.9
0.16,2.07,1569705702.0
0.18,1.99,1569705702.1
0.36,1.94,1569705702.2
0.62,1.95,1569705702.3
1.00,2.03,1569705702.4
1.54,2.06,1569705702.5
2.22,2.09,1569705702.6
2.90,2.18,1569705702.7
3.45,2.26,1569705702.8
3.96,2.25,1569705702.9
4.32,2.21,1569705703.0
4.55,2.19,1569705703.1
4.60,2.19,1569705703.2
4.31,2.24,1569705703.3
3.99,2.33,1569705703.4
3.72,2.33,1569705703.5
3.39,2.28,1569705703.6
3.03,2.22,1569705703.7
2.68,2.13,1569705703.8
2.55,2.04,1569705703.9
2.48,1.83,1569705704.0
2.29,1.78,1569705704.1
2.18,1.71,1569705704.2
2.10,1.68,1569705704.3
2.05,1.67,1569705704.4
2.07,1.62,1569705704.5
2.03,1.66,1569705704.6
2.01,1.63,1569705704.7
2.08,1.63,1569705704.8
2.00,1.61,1569705704.9
1.80,1.59,1569705705.0
1.58,1.56,1569705705.1
1.34,1.50,1569705705.2
1.06,1.50,1569705705.3
0.74,1.50,1569705705.4
0.54,1.51,1569705705.5
0.45,1.53,1569705705.6
0.41,1.52,1569705705.7
0.41,1.51,1569705705.8
0.43,1.49,1569705705.9
0.45,1.47,1569705706.0
0.47,1.45,1569705706.1
0.52,1.43,1569705706.2
0.59,1.44,1569705706.3
0.65,1.43,1569705706.4
0.70,1.44,1569705706.5
0.78,1.45,1569705706.6
0.97,1.48,1569705706.7
1.26,1.49,1569705706.8
1.65,1.44,1569705706.9
2.16,1.44,1569705707.0
2.75,1.46,1569705707.1
3.48,1.47,1569705707.2
4.26,1.54,1569705707.3
5.00,1.57,1569705707.4
5.78,1.80,1569705707.5
6.56,2.16,1569705707.6
7.19,2.59,1569705707.7
7.71,3.21,1569705707.8
8.15,3.87,1569705707.9
8.49,4.62,1569705708.0
8.70,5.54,1569705708.1
