x,y,time
4.67,17.52,1569794185.9
4.72,17.48,1569794186.0
4.75,17.47,1569794186.1
4.70,17.47,1569794186.2
4.80,17.47,1569794186.3
4.82,17.45,1569794186.4
4.79,17.42,1569794186.5
4.72,17.45,1569794186.6
4.68,17.42,1569794186.7
4.68,17.43,1569794186.8
4.60,17.47,1569794186.9
4.55,17.49,1569794187.0
4.63,17.63,1569794187.1
4.71,17.63,1569794187.2
4.75,17.70,1569794187.3
4.74,17.70,1569794187.4
4.72,17.71,1569794187.5
4.78,17.70,1569794187.6
4.74,17.57,1569794187.7
4.71,17.57,1569794187.8
4.70,17.54,1569794187.9
4.75,17.55,1569794188.0
4.78,17.54,1569794188.1
4.78,17.52,1569794188.2
4.75,17.51,1569794188.3
4.76,17.55,1569794188.4
4.84,17.53,1569794188.5
4.86,17.50,1569794188.6
4.84,17.46,1569794188.7
4.87,17.51,1569794188.8
4.98,17.51,1569794188.9
5.13,17.44,1569794189.0
5.27,17.46,1569794189.1
5.63,17.52,1569794189.2
6.16,17.67,1569794189.3
6.79,17.69,1569794189.4
7.33,17.82,1569794189.5
8.07,17.94,1569794189.6
8.76,17.99,1569794189.7
9.39,18.03,1569794189.8
10.07,18.02,1569794189.9
10.83,18.02,1569794190.0
11.75,18.01,1569794190.1
12.60,18.03,1569794190.2
13.50,18.14,1569794190.3
14.41,18.26,1569794190.4
15.36,18.41,1569794190.5
16.15,18.62,1569794190.6
16.97,18.74,1569794190.7
17.56,19.00,1569794190.8
18.27,19.12,1569794190.9
18.94,19.23,1569794191.0
19.47,19.27,1569794191.1
19.97,19.25,1569794191.2
20.37,19.29,1569794191.3
20.78,19.21,1569794191.4
20.97,19.22,1569794191.5
21.10,19.20,1569794191.6
20.97,19.31,1569794191.7
20.78,19.41,1569794191.8
20.68,19.44,1569794191.9
20.66,19.46,1569794192.0
20.72,19.44,1569794192.1
20.68,19.47,1569794192.2
20.86,19.42,1569794192.3
21.04,19.38,1569794192.4
21.10,19.41,1569794192.5
21.11,19.40,1569794192.6
21.07,19.38,1569794192.7
21.06,19.35,1569794192.8
21.04,19.32,1569794192.9
21.00,19.32,1569794193.0
20.97,19.28,1569794193.1
20.87,19.29,1569794193.2
20.80,19.35,1569794193.3
20.82,19.30,1569794193.4
20.85,19.24,1569794193.5
20.92,19.24,1569794193.6
20.93,19.24,1569794193.7
21.01,19.26,1569794193.8
20.94,19.23,1569794193.9
20.77,19.39,1569794194.0
20.43,19.46,1569794194.1
20.02,19.52,1569794194.2
19.53,19.66,1569794194.3
18.87,19.78,1569794194.4
18.32,19.94,1569794194.5
17.67,20.04,1569794194.6
17.04,20.17,1569794194.7
16.34,20.32,1569794194.8
15.56,20.50,1569794194.9
14.76,20.74,1569794195.0
13.77,21.02,1569794195.1
12.70,21.38,1569794195.2
11.89,21.77,1569794195.3
10.93,22.28,1569794195.4
10.01,22.82,1569794195.5
9.11,23.34,1569794195.6
8.39,23.80,1569794195.7
7.72,24.24,1569794195.8
6.73,24.67,1569794195.9
5.98,24.90,1569794196.0
5.24,25.03,1569794196.1
4.53,25.13,1569794196.2
3.94,25.17,1569794196.3
3.61,25.12,1569794196.4
3.50,25.05,1569794196.5
3.51,24.99,1569794196.6
3.70,24.90,1569794196.7
4.08,24.78,1569794196.8
4.46,24.66,1569794196.9
4.85,24.54,1569794197.0
5.23,24.42,1569794197.1
5.62,24.30,1569794197.2
6.00,24.18,1569794197.3
6.39,24.06,1569794197.4
6.77,23.94,1569794197.5
7.16,23.82,1569794197.6
7.54,23.70,1569794197.7
7.93,23.58,1569794197.8
8.31,23.46,1569794197.9
8.69,23.34,1569794198.0
9.08,23.22,1569794198.1
9.46,23.10,1569794198.2
9.85,22.98,1569794198.3
10.23,22.86,1569794198.4
10.62,22.74,1569794198.5
11.00,22.62,1569794198.6
11.39,22.50,1569794198.7
11.77,22.38,1569794198.8
12.15,22.26,1569794198.9
12.54,22.14,1569794199.0
12.92,22.02,1569794199.1
13.31,21.90,1569794199.2
13.69,21.78,1569794199.3
14.08,21.66,1569794199.4
14.46,21.54,1569794199.5
14.84,21.42,1569794199.6
15.23,21.30,1569794199.7
15.62,21.18,1569794199.8
16.00,21.06,1569794199.9
16.38,20.94,1569794200.0
16.77,20.82,1569794200.1
17.16,20.70,1569794200.2
17.54,20.58,1569794200.3
17.92,20.46,1569794200.4
18.31,20.34,1569794200.5
18.69,20.22,1569794200.6
19.08,20.10,1569794200.7
19.46,19.98,1569794200.8
19.85,19.86,1569794200.9
20.23,19.74,1569794201.0
20.61,19.62,1569794201.1
21.00,19.50,1569794201.2
21.39,19.38,1569794201.3
21.77,19.26,1569794201.4
22.15,19.14,1569794201.5
22.47,19.07,1569794201.6
22.67,19.02,1569794201.7
22.87,18.96,1569794201.8
23.01,18.96,1569794201.9
23.06,18.96,1569794202.0
23.12,18.96,1569794202.1
23.19,18.95,1569794202.2
23.30,18.95,1569794202.3
23.31,18.97,1569794202.4
23.29,18.97,1569794202.5
23.20,18.99,1569794202.6
23.11,19.07,1569794202.7
23.02,19.10,1569794202.8
22.98,19.08,1569794202.9
22.95,19.04,1569794203.0
22.90,19.08,1569794203.1
23.00,19.00,1569794203.2
23.00,18.94,1569794203.3
22.98,18.93,1569794203.4
22.97,18.92,1569794203.5
22.97,18.97,1569794203.6
22.99,18.99,1569794203.7
22.82,19.10,1569794203.8
22.60,19.20,1569794203.9
22.23,19.28,1569794204.0
21.59,19.49,1569794204.1
20.83,19.72,1569794204.2
19.93,19.92,1569794204.3
19.00,20.26,1569794204.4
17.84,20.55,1569794204.5
16.57,20.98,1569794204.6
15.26,21.32,1569794204.7
13.76,21.65,1569794204.8
12.32,22.06,1569794204.9
10.80,22.34,1569794205.0
9.31,22.75,1569794205.1
8.04,23.05,1569794205.2
6.85,23.33,1569794205.3
5.86,23.58,1569794205.4
4.91,23.72,1569794205.5
4.06,23.94,1569794205.6
3.38,24.05,1569794205.7
2.75,24.16,1569794205.8
2.19,24.26,1569794205.9
1.69,24.35,1569794206.0
1.29,24.45,1569794206.1
0.94,24.48,1569794206.2
0.76,24.49,1569794206.3
0.56,24.50,1569794206.4
0.45,24.52,1569794206.5
0.41,24.54,1569794206.6
0.35,24.55,1569794206.7
0.31,24.57,1569794206.8
0.27,24.58,1569794206.9
0.25,24.57,1569794207.0
0.24,24.54,1569794207.1
0.30,24.52,1569794207.2
0.40,24.51,1569794207.3
0.58,24.52,1569794207.4
0.74,24.56,1569794207.5
1.00,24.58,1569794207.6
1.32,24.56,1569794207.7
