x,y,time
4.84,17.52,1569789418.1
4.83,17.51,1569789418.2
4.86,17.52,1569789418.3
4.83,17.49,1569789418.4
4.87,17.53,1569789418.5
4.84,17.50,1569789418.6
4.88,17.51,1569789418.7
4.91,17.51,1569789418.8
4.87,17.48,1569789418.9
4.89,17.47,1569789419.0
4.84,17.45,1569789419.1
4.89,17.48,1569789419.2
4.88,17.46,1569789419.3
4.89,17.43,1569789419.4
4.93,17.43,1569789419.5
4.88,17.42,1569789419.6
4.91,17.40,1569789419.7
4.93,17.39,1569789419.8
4.89,17.41,1569789419.9
4.90,17.43,1569789420.0
4.95,17.43,1569789420.1
5.02,17.45,1569789420.2
5.08,17.47,1569789420.3
5.10,17.47,1569789420.4
5.16,17.46,1569789420.5
5.19,17.50,1569789420.6
5.13,17.50,1569789420.7
5.05,17.50,1569789420.8
4.97,17.50,1569789420.9
4.87,17.54,1569789421.0
4.88,17.60,1569789421.1
4.98,17.63,1569789421.2
5.17,17.68,1569789421.3
5.41,17.72,1569789421.4
5.69,17.78,1569789421.5
6.00,17.81,1569789421.6
6.23,17.82,1569789421.7
6.40,17.85,1569789421.8
6.57,17.90,1569789421.9
6.74,17.94,1569789422.0
6.90,18.00,1569789422.1
7.07,18.04,1569789422.2
7.24,18.09,1569789422.3
7.41,18.15,1569789422.4
7.58,18.19,1569789422.5
7.75,18.25,1569789422.6
7.92,18.29,1569789422.7
8.09,18.34,1569789422.8
8.26,18.39,1569789422.9
8.43,18.44,1569789423.0
8.59,18.49,1569789423.1
8.77,18.54,1569789423.2
8.94,18.59,1569789423.3
9.10,18.64,1569789423.4
9.27,18.69,1569789423.5
9.44,18.74,1569789423.6
9.61,18.79,1569789423.7
9.78,18.84,1569789423.8
9.95,18.89,1569789423.9
10.12,18.94,1569789424.0
10.29,18.99,1569789424.1
10.46,19.04,1569789424.2
10.63,19.09,1569789424.3
10.80,19.14,1569789424.4
10.96,19.19,1569789424.5
11.14,19.24,1569789424.6
11.30,19.29,1569789424.7
11.47,19.34,1569789424.8
11.64,19.39,1569789424.9
11.81,19.44,1569789425.0
11.98,19.49,1569789425.1
12.15,19.54,1569789425.2
12.32,19.59,1569789425.3
12.49,19.64,1569789425.4
12.65,19.69,1569789425.5
12.83,19.74,1569789425.6
13.00,19.79,1569789425.7
13.16,19.83,1569789425.8
13.33,19.89,1569789425.9
13.51,19.94,1569789426.0
13.67,19.99,1569789426.1
13.84,20.04,1569789426.2
14.01,20.08,1569789426.3
14.18,20.14,1569789426.4
14.33,20.19,1569789426.5
14.24,20.35,1569789426.6
13.95,20.54,1569789426.7
13.46,20.76,1569789426.8
12.66,21.01,1569789426.9
11.74,21.24,1569789427.0
10.76,21.63,1569789427.1
9.78,22.05,1569789427.2
8.74,22.52,1569789427.3
7.84,22.98,1569789427.4
7.04,23.51,1569789427.5
6.19,24.06,1569789427.6
5.32,24.48,1569789427.7
4.62,24.78,1569789427.8
4.11,24.94,1569789427.9
3.54,25.05,1569789428.0
3.07,25.08,1569789428.1
2.60,25.11,1569789428.2
2.10,25.12,1569789428.3
1.63,25.16,1569789428.4
1.22,25.25,1569789428.5
0.87,25.36,1569789428.6
0.61,25.45,1569789428.7
0.49,25.53,1569789428.8
0.45,25.59,1569789428.9
0.42,25.59,1569789429.0
0.39,25.57,1569789429.1
0.35,25.54,1569789429.2
0.32,25.50,1569789429.3
0.28,25.44,1569789429.4
0.25,25.39,1569789429.5
0.22,25.34,1569789429.6
0.26,25.28,1569789429.7
0.32,25.24,1569789429.8
0.55,25.23,1569789429.9
0.83,25.19,1569789430.0
1.21,25.15,1569789430.1
1.71,25.09,1569789430.2
2.31,25.00,1569789430.3
3.02,24.91,1569789430.4
3.50,24.80,1569789430.5
4.15,24.64,1569789430.6
4.71,24.35,1569789430.7
5.34,23.99,1569789430.8
6.06,23.63,1569789430.9
6.81,23.24,1569789431.0
7.69,22.90,1569789431.1
8.53,22.65,1569789431.2
9.45,22.42,1569789431.3
10.49,22.22,1569789431.4
11.50,21.98,1569789431.5
12.59,21.72,1569789431.6
13.59,21.51,1569789431.7
14.83,21.19,1569789431.8
16.08,20.89,1569789431.9
17.10,20.63,1569789432.0
17.97,20.42,1569789432.1
18.76,20.22,1569789432.2
19.66,19.89,1569789432.3
20.23,19.67,1569789432.4
20.75,19.52,1569789432.5
21.20,19.43,1569789432.6
21.74,19.32,1569789432.7
22.17,19.24,1569789432.8
22.56,19.21,1569789432.9
22.95,19.13,1569789433.0
23.20,19.05,1569789433.1
23.33,18.95,1569789433.2
23.32,18.91,1569789433.3
23.27,18.88,1569789433.4
23.16,18.87,1569789433.5
23.00,18.89,1569789433.6
22.96,18.93,1569789433.7
23.01,18.95,1569789433.8
23.10,19.01,1569789433.9
23.22,18.98,1569789434.0
23.28,18.92,1569789434.1
23.30,18.90,1569789434.2
23.24,18.86,1569789434.3
23.22,18.84,1569789434.4
23.15,18.75,1569789434.5
23.10,18.79,1569789434.6
23.05,18.82,1569789434.7
23.04,18.83,1569789434.8
23.09,18.86,1569789434.9
23.14,18.87,1569789435.0
23.16,18.88,1569789435.1
23.07,18.87,1569789435.2
23.01,18.88,1569789435.3
22.99,18.94,1569789435.4
22.94,18.99,1569789435.5
22.89,19.02,1569789435.6
22.87,18.98,1569789435.7
22.89,18.97,1569789435.8
22.94,18.93,1569789435.9
22.89,18.87,1569789436.0
22.89,18.85,1569789436.1
22.66,18.95,1569789436.2
22.55,19.07,1569789436.3
22.30,19.18,1569789436.4
21.86,19.31,1569789436.5
21.32,19.51,1569789436.6
20.59,19.63,1569789436.7
19.83,19.71,1569789436.8
18.75,19.91,1569789436.9
17.58,20.14,1569789437.0
16.39,20.40,1569789437.1
15.14,20.58,1569789437.2
13.75,20.78,1569789437.3
12.43,21.03,1569789437.4
11.21,21.35,1569789437.5
10.00,21.72,1569789437.6
8.87,21.99,1569789437.7
7.85,22.39,1569789437.8
7.00,22.88,1569789437.9
6.15,23.36,1569789438.0
5.37,23.69,1569789438.1
4.82,24.00,1569789438.2
4.27,24.35,1569789438.3
3.82,24.55,1569789438.4
3.50,24.68,1569789438.5
3.36,24.80,1569789438.6
3.12,24.94,1569789438.7
2.89,25.00,1569789438.8
2.73,25.05,1569789438.9
2.60,25.10,1569789439.0
2.43,25.16,1569789439.1
2.29,25.16,1569789439.2
2.29,25.21,1569789439.3
2.26,25.23,1569789439.4
2.23,25.26,1569789439.5
2.17,25.30,1569789439.6
2.10,25.25,1569789439.7
1.92,25.22,1569789439.8
1.65,25.17,1569789439.9
1.46,25.11,1569789440.0
1.19,25.08,1569789440.1
1.04,25.05,1569789440.2
0.88,25.07,1569789440.3
0.82,25.12,1569789440.4
0.87,25.16,1569789440.5
0.82,25.23,1569789440.6
0.90,25.29,1569789440.7
0.82,25.37,1569789440.8
0.78,25.42,1569789440.9
0.70,25.41,1569789441.0
0.55,25.42,1569789441.1
0.48,25.41,1569789441.2
0.41,25.38,1569789441.3
0.37,25.35,1569789441.4
0.38,25.30,1569789441.5
0.37,25.29,1569789441.6
0.54,25.26,1569789441.7
0.80,25.22,1569789441.8
1.18,25.18,1569789441.9
1.70,25.08,1569789442.0
2.34,25.06,1569789442.1
3.20,25.03,1569789442.2
4.06,25.01,1569789442.3
4.90,24.94,1569789442.4
5.95,24.86,1569789442.5
7.03,24.80,1569789442.6
8.15,24.64,1569789442.7
9.26,24.38,1569789442.8
10.36,24.04,1569789442.9
11.48,23.86,1569789443.0
12.41,23.55,1569789443.1
13.32,23.15,1569789443.2
14.15,22.73,1569789443.3
15.05,22.30,1569789443.4
15.84,21.98,1569789443.5
16.64,21.60,1569789443.6
17.33,21.41,1569789443.7
17.90,21.45,1569789443.8
18.37,21.64,1569789443.9
18.69,21.99,1569789444.0
18.93,22.28,1569789444.1
19.07,22.60,1569789444.2
19.30,22.78,1569789444.3
19.69,22.85,1569789444.4
20.18,22.86,1569789444.5
20.60,22.84,1569789444.6
21.19,22.80,1569789444.7
21.70,22.86,1569789444.8
22.09,23.08,1569789444.9
22.27,23.34,1569789445.0
22.30,23.57,1569789445.1
22.43,23.76,1569789445.2
22.42,24.04,1569789445.3
22.35,24.19,1569789445.4
22.33,24.29,1569789445.5
22.36,24.34,1569789445.6
22.38,24.40,1569789445.7
22.37,24.43,1569789445.8
22.31,24.45,1569789445.9
22.37,24.43,1569789446.0
22.38,24.44,1569789446.1
22.36,24.47,1569789446.2
22.37,24.47,1569789446.3
22.24,24.52,1569789446.4
22.05,24.49,1569789446.5
21.96,24.34,1569789446.6
21.79,24.07,1569789446.7
21.47,23.80,1569789446.8
21.02,23.67,1569789446.9
20.43,23.38,1569789447.0
19.80,23.09,1569789447.1
18.83,22.90,1569789447.2
17.69,22.74,1569789447.3
16.53,22.63,1569789447.4
15.37,22.37,1569789447.5
14.24,22.26,1569789447.6
13.13,22.27,1569789447.7
12.04,22.36,1569789447.8
11.13,22.49,1569789447.9
10.27,22.70,1569789448.0
9.57,22.93,1569789448.1
8.94,23.08,1569789448.2
8.33,23.29,1569789448.3
7.79,23.54,1569789448.4
7.10,23.72,1569789448.5
6.46,23.85,1569789448.6
5.70,24.03,1569789448.7
5.10,24.26,1569789448.8
4.50,24.41,1569789448.9
4.06,24.48,1569789449.0
3.79,24.57,1569789449.1
3.54,24.62,1569789449.2
3.25,24.64,1569789449.3
2.90,24.72,1569789449.4
2.45,24.74,1569789449.5
1.99,24.76,1569789449.6
1.54,24.82,1569789449.7
1.09,24.86,1569789449.8
0.80,24.92,1569789449.9
0.54,24.92,1569789450.0
0.46,24.93,1569789450.1
0.44,24.95,1569789450.2
0.48,24.95,1569789450.3
0.59,24.96,1569789450.4
0.70,24.97,1569789450.5
0.76,24.97,1569789450.6
0.95,24.99,1569789450.7
1.33,24.98,1569789450.8
1.79,25.03,1569789450.9
2.44,25.03,1569789451.0
3.23,24.96,1569789451.1
4.11,24.88,1569789451.2
5.02,24.67,1569789451.3
5.84,24.55,1569789451.4
6.54,24.34,1569789451.5
7.20,24.15,1569789451.6
7.92,24.04,1569789451.7
8.55,23.99,1569789451.8
9.19,24.04,1569789451.9
9.75,23.97,1569789452.0
10.38,23.97,1569789452.1
10.92,24.05,1569789452.2
11.38,24.10,1569789452.3
11.96,24.10,1569789452.4
12.37,24.12,1569789452.5
12.74,24.21,1569789452.6
13.15,24.28,1569789452.7
13.49,24.33,1569789452.8
13.79,24.45,1569789452.9
14.05,24.54,1569789453.0
