x,y,time
49.43,17.79,1569774666.9
49.47,17.80,1569774667.0
49.49,17.83,1569774667.1
49.42,17.77,1569774667.2
49.49,17.79,1569774667.3
49.46,17.80,1569774667.4
49.45,17.82,1569774667.5
49.44,17.83,1569774667.6
49.48,17.82,1569774667.7
49.58,17.84,1569774667.8
49.47,17.78,1569774667.9
49.44,17.77,1569774668.0
49.44,17.76,1569774668.1
49.39,17.76,1569774668.2
49.38,17.72,1569774668.3
49.35,17.78,1569774668.4
49.37,17.82,1569774668.5
49.45,17.79,1569774668.6
49.46,17.79,1569774668.7
49.50,17.81,1569774668.8
49.51,17.82,1569774668.9
49.55,17.81,1569774669.0
49.54,17.82,1569774669.1
49.53,17.80,1569774669.2
49.54,17.83,1569774669.3
49.12,18.12,1569774669.4
49.09,18.12,1569774669.5
49.07,18.15,1569774669.6
49.12,18.18,1569774669.7
49.10,18.23,1569774669.8
49.03,18.24,1569774669.9
49.38,17.94,1569774670.0
49.19,17.97,1569774670.1
48.93,17.91,1569774670.2
48.58,17.85,1569774670.3
48.13,17.79,1569774670.4
47.69,17.81,1569774670.5
47.19,17.80,1569774670.6
46.79,17.82,1569774670.7
46.36,17.91,1569774670.8
46.00,18.23,1569774670.9
45.74,18.72,1569774671.0
45.46,19.13,1569774671.1
45.07,19.63,1569774671.2
44.66,20.12,1569774671.3
44.28,20.66,1569774671.4
43.77,21.10,1569774671.5
43.34,21.44,1569774671.6
42.98,21.96,1569774671.7
42.61,22.39,1569774671.8
42.21,22.86,1569774671.9
41.85,23.28,1569774672.0
41.52,23.63,1569774672.1
41.24,23.96,1569774672.2
40.83,24.16,1569774672.3
40.50,24.38,1569774672.4
40.24,24.56,1569774672.5
40.01,24.71,1569774672.6
39.89,24.87,1569774672.7
39.72,24.95,1569774672.8
39.64,24.97,1569774672.9
39.59,25.03,1569774673.0
39.58,25.05,1569774673.1
39.55,24.99,1569774673.2
39.55,24.94,1569774673.3
39.52,24.86,1569774673.4
39.52,24.89,1569774673.5
39.53,24.86,1569774673.6
39.53,24.82,1569774673.7
39.59,24.82,1569774673.8
39.67,24.82,1569774673.9
39.67,24.81,1569774674.0
39.68,24.77,1569774674.1
39.72,24.72,1569774674.2
39.77,24.71,1569774674.3
39.76,24.74,1569774674.4
39.67,24.78,1569774674.5
39.69,24.78,1569774674.6
39.82,24.78,1569774674.7
40.07,24.78,1569774674.8
40.32,24.70,1569774674.9
40.66,24.59,1569774675.0
41.12,24.40,1569774675.1
41.53,24.25,1569774675.2
41.85,24.05,1569774675.3
42.15,23.87,1569774675.4
42.57,23.77,1569774675.5
43.11,23.65,1569774675.6
43.62,23.64,1569774675.7
44.26,23.65,1569774675.8
45.00,23.73,1569774675.9
45.84,23.93,1569774676.0
46.67,24.08,1569774676.1
47.38,24.29,1569774676.2
48.09,24.42,1569774676.3
48.77,24.57,1569774676.4
49.36,24.67,1569774676.5
49.80,24.64,1569774676.6
50.20,24.69,1569774676.7
50.59,24.72,1569774676.8
50.96,24.77,1569774676.9
51.33,24.84,1569774677.0
51.77,24.87,1569774677.1
52.22,24.93,1569774677.2
52.61,24.95,1569774677.3
52.95,24.96,1569774677.4
53.23,24.98,1569774677.5
53.45,24.97,1569774677.6
53.55,24.98,1569774677.7
53.63,24.98,1569774677.8
53.67,25.01,1569774677.9
53.71,25.03,1569774678.0
53.74,25.05,1569774678.1
53.77,25.08,1569774678.2
53.81,25.10,1569774678.3
53.82,25.13,1569774678.4
53.75,25.15,1569774678.5
53.69,25.13,1569774678.6
53.54,25.15,1569774678.7
53.24,25.10,1569774678.8
52.75,24.96,1569774678.9
52.27,24.83,1569774679.0
51.71,24.73,1569774679.1
51.03,24.64,1569774679.2
50.44,24.45,1569774679.3
49.82,24.29,1569774679.4
49.25,24.23,1569774679.5
48.46,24.10,1569774679.6
47.74,23.84,1569774679.7
47.08,23.60,1569774679.8
46.27,23.45,1569774679.9
45.35,23.21,1569774680.0
44.53,22.92,1569774680.1
43.77,22.62,1569774680.2
42.94,22.41,1569774680.3
42.00,22.21,1569774680.4
41.10,21.99,1569774680.5
40.34,21.88,1569774680.6
39.43,21.80,1569774680.7
38.53,21.76,1569774680.8
37.86,22.01,1569774680.9
37.19,22.17,1569774681.0
36.29,22.30,1569774681.1
35.52,22.55,1569774681.2
34.79,22.80,1569774681.3
34.25,23.22,1569774681.4
33.56,23.42,1569774681.5
33.01,23.67,1569774681.6
32.78,23.99,1569774681.7
32.61,24.18,1569774681.8
32.53,24.41,1569774681.9
32.47,24.45,1569774682.0
32.45,24.48,1569774682.1
32.46,24.58,1569774682.2
32.46,24.67,1569774682.3
32.40,24.74,1569774682.4
32.41,24.76,1569774682.5
32.39,24.79,1569774682.6
32.37,24.81,1569774682.7
32.38,24.78,1569774682.8
32.38,24.72,1569774682.9
32.39,24.67,1569774683.0
32.39,24.64,1569774683.1
32.39,24.59,1569774683.2
32.45,24.46,1569774683.3
32.50,24.29,1569774683.4
32.64,24.09,1569774683.5
32.79,23.83,1569774683.6
32.99,23.56,1569774683.7
33.22,23.27,1569774683.8
33.54,23.12,1569774683.9
33.82,22.87,1569774684.0
33.93,22.51,1569774684.1
34.02,22.10,1569774684.2
34.07,21.68,1569774684.3
34.13,21.35,1569774684.4
33.98,20.95,1569774684.5
33.95,20.73,1569774684.6
33.98,20.66,1569774684.7
34.04,20.71,1569774684.8
34.07,20.77,1569774684.9
34.05,20.79,1569774685.0
34.15,20.83,1569774685.1
34.26,20.96,1569774685.2
34.25,21.12,1569774685.3
34.40,21.47,1569774685.4
34.48,21.83,1569774685.5
34.50,22.16,1569774685.6
34.60,22.53,1569774685.7
34.48,22.66,1569774685.8
34.70,22.90,1569774685.9
34.66,22.79,1569774686.0
34.77,22.78,1569774686.1
34.76,22.68,1569774686.2
34.71,22.45,1569774686.3
34.83,22.39,1569774686.4
34.78,22.14,1569774686.5
34.82,22.08,1569774686.6
34.82,21.71,1569774686.7
35.06,21.55,1569774686.8
