x,y,time
49.23,9.56,1569703724.7
49.21,9.56,1569703724.8
49.43,9.64,1569703724.9
49.53,9.68,1569703725.0
49.53,9.68,1569703725.1
49.49,9.65,1569703725.2
49.47,9.67,1569703725.3
49.46,9.66,1569703725.4
49.45,9.67,1569703725.5
49.42,9.67,1569703725.6
49.37,9.70,1569703725.7
49.38,9.74,1569703725.8
49.36,9.73,1569703725.9
49.44,9.72,1569703726.0
49.44,9.74,1569703726.1
49.48,9.71,1569703726.2
49.48,9.70,1569703726.3
49.52,9.70,1569703726.4
49.57,9.72,1569703726.5
49.52,9.72,1569703726.6
49.52,9.70,1569703726.7
49.48,9.71,1569703726.8
49.45,9.68,1569703726.9
49.44,9.67,1569703727.0
49.44,9.65,1569703727.1
49.50,9.65,1569703727.2
49.49,9.67,1569703727.3
49.47,9.67,1569703727.4
49.50,9.68,1569703727.5
49.47,9.65,1569703727.6
49.45,9.61,1569703727.7
49.34,9.56,1569703727.8
49.18,9.49,1569703727.9
48.82,9.41,1569703728.0
48.44,9.41,1569703728.1
47.99,9.46,1569703728.2
47.46,9.52,1569703728.3
46.86,9.58,1569703728.4
46.28,9.65,1569703728.5
45.88,9.65,1569703728.6
45.44,9.49,1569703728.7
44.98,9.27,1569703728.8
44.43,8.91,1569703728.9
44.00,8.45,1569703729.0
43.63,7.89,1569703729.1
43.15,7.42,1569703729.2
42.60,6.92,1569703729.3
42.02,6.39,1569703729.4
41.61,5.88,1569703729.5
41.23,5.40,1569703729.6
40.75,5.01,1569703729.7
40.37,4.53,1569703729.8
40.10,4.16,1569703729.9
39.92,3.80,1569703730.0
39.76,3.47,1569703730.1
39.55,3.28,1569703730.2
39.46,3.10,1569703730.3
39.44,2.98,1569703730.4
39.43,2.84,1569703730.5
39.39,2.81,1569703730.6
39.34,2.81,1569703730.7
39.31,2.77,1569703730.8
39.27,2.76,1569703730.9
39.23,2.76,1569703731.0
39.21,2.77,1569703731.1
39.20,2.77,1569703731.2
39.24,2.82,1569703731.3
39.22,2.85,1569703731.4
39.26,2.84,1569703731.5
39.24,2.86,1569703731.6
39.24,2.88,1569703731.7
39.20,2.87,1569703731.8
39.15,2.84,1569703731.9
39.18,2.82,1569703732.0
39.13,2.83,1569703732.1
39.17,2.80,1569703732.2
39.19,2.81,1569703732.3
39.25,2.84,1569703732.4
39.36,2.86,1569703732.5
39.58,3.05,1569703732.6
39.89,3.17,1569703732.7
40.29,3.38,1569703732.8
40.66,3.56,1569703732.9
41.18,3.76,1569703733.0
41.80,4.02,1569703733.1
42.43,4.06,1569703733.2
43.54,4.03,1569703733.3
44.41,3.99,1569703733.4
45.29,4.00,1569703733.5
46.10,3.87,1569703733.6
46.86,4.01,1569703733.7
47.71,3.77,1569703733.8
48.05,3.67,1569703733.9
48.59,3.54,1569703734.0
49.17,3.31,1569703734.1
49.75,3.21,1569703734.2
50.33,2.77,1569703734.3
50.73,2.75,1569703734.4
51.18,2.66,1569703734.5
51.59,2.59,1569703734.6
52.08,2.50,1569703734.7
52.50,2.39,1569703734.8
52.86,2.28,1569703734.9
53.17,2.18,1569703735.0
53.38,2.12,1569703735.1
53.56,2.04,1569703735.2
53.60,2.01,1569703735.3
53.64,1.99,1569703735.4
53.62,1.99,1569703735.5
53.59,1.99,1569703735.6
53.54,2.00,1569703735.7
53.51,2.00,1569703735.8
53.47,2.01,1569703735.9
53.43,2.01,1569703736.0
53.39,2.01,1569703736.1
53.45,1.97,1569703736.2
53.33,1.97,1569703736.3
53.17,2.04,1569703736.4
52.95,2.13,1569703736.5
52.61,2.28,1569703736.6
52.12,2.43,1569703736.7
51.54,2.72,1569703736.8
50.94,2.90,1569703736.9
50.32,3.17,1569703737.0
49.55,3.46,1569703737.1
48.86,3.71,1569703737.2
48.16,4.06,1569703737.3
47.36,4.23,1569703737.4
46.50,4.48,1569703737.5
45.68,4.64,1569703737.6
44.90,4.68,1569703737.7
