x,y,time
4.64,17.48,1569797273.9
4.59,17.50,1569797274.0
4.62,17.49,1569797274.1
4.64,17.51,1569797274.2
4.65,17.54,1569797274.3
4.60,17.53,1569797274.4
4.54,17.53,1569797274.5
4.57,17.53,1569797274.6
4.58,17.56,1569797274.7
4.65,17.54,1569797274.8
4.68,17.52,1569797274.9
4.79,17.52,1569797275.0
5.17,17.74,1569797275.1
5.23,17.80,1569797275.2
5.26,17.78,1569797275.3
5.19,17.82,1569797275.4
5.17,17.86,1569797275.5
5.15,17.87,1569797275.6
4.88,17.64,1569797275.7
4.78,17.59,1569797275.8
4.79,17.60,1569797275.9
4.86,17.57,1569797276.0
4.82,17.55,1569797276.1
4.79,17.56,1569797276.2
4.74,17.57,1569797276.3
4.78,17.58,1569797276.4
4.66,17.56,1569797276.5
4.58,17.55,1569797276.6
4.52,17.66,1569797276.7
4.45,17.65,1569797276.8
4.49,17.67,1569797276.9
4.60,17.71,1569797277.0
4.84,17.79,1569797277.1
5.19,17.79,1569797277.2
5.66,17.72,1569797277.3
6.10,17.82,1569797277.4
6.53,17.96,1569797277.5
6.96,18.12,1569797277.6
7.42,18.29,1569797277.7
7.87,18.51,1569797277.8
8.33,18.72,1569797277.9
8.89,18.87,1569797278.0
9.57,18.95,1569797278.1
10.31,19.00,1569797278.2
11.04,19.09,1569797278.3
11.83,19.17,1569797278.4
12.76,19.23,1569797278.5
13.75,19.30,1569797278.6
14.75,19.38,1569797278.7
15.79,19.44,1569797278.8
16.81,19.39,1569797278.9
17.74,19.27,1569797279.0
18.51,19.14,1569797279.1
19.15,19.00,1569797279.2
19.77,18.76,1569797279.3
20.32,18.47,1569797279.4
20.79,18.24,1569797279.5
21.15,18.10,1569797279.6
21.48,17.93,1569797279.7
21.76,17.77,1569797279.8
21.90,17.73,1569797279.9
21.94,17.76,1569797280.0
21.97,17.77,1569797280.1
22.00,17.76,1569797280.2
22.04,17.78,1569797280.3
22.11,17.73,1569797280.4
22.23,17.60,1569797280.5
22.23,17.51,1569797280.6
22.25,17.45,1569797280.7
22.23,17.42,1569797280.8
22.21,17.38,1569797280.9
22.08,17.42,1569797281.0
21.80,17.63,1569797281.1
21.55,17.87,1569797281.2
21.24,18.07,1569797281.3
20.94,18.26,1569797281.4
20.60,18.50,1569797281.5
20.32,18.55,1569797281.6
20.01,18.52,1569797281.7
19.58,18.53,1569797281.8
19.20,18.53,1569797281.9
18.71,18.57,1569797282.0
18.11,18.65,1569797282.1
17.36,18.94,1569797282.2
16.66,19.25,1569797282.3
16.02,19.68,1569797282.4
15.23,20.15,1569797282.5
14.49,20.52,1569797282.6
13.70,20.94,1569797282.7
12.81,21.40,1569797282.8
11.74,21.92,1569797282.9
10.76,22.29,1569797283.0
9.78,22.66,1569797283.1
8.70,23.15,1569797283.2
7.63,23.60,1569797283.3
6.71,24.03,1569797283.4
6.04,24.30,1569797283.5
5.25,24.59,1569797283.6
4.56,24.80,1569797283.7
3.89,24.96,1569797283.8
3.40,25.04,1569797283.9
2.90,25.08,1569797284.0
2.37,25.17,1569797284.1
1.94,25.17,1569797284.2
1.53,25.16,1569797284.3
1.32,25.18,1569797284.4
1.00,25.17,1569797284.5
0.79,25.16,1569797284.6
0.63,25.11,1569797284.7
0.52,25.10,1569797284.8
0.43,25.08,1569797284.9
0.33,25.05,1569797285.0
0.32,25.03,1569797285.1
0.30,25.01,1569797285.2
0.29,24.98,1569797285.3
0.28,24.96,1569797285.4
0.26,24.94,1569797285.5
0.25,24.91,1569797285.6
0.25,24.87,1569797285.7
0.26,24.85,1569797285.8
0.38,24.90,1569797285.9
0.48,25.01,1569797286.0
0.71,25.06,1569797286.1
1.15,25.06,1569797286.2
1.66,24.98,1569797286.3
2.22,24.96,1569797286.4
2.75,24.84,1569797286.5
3.48,24.56,1569797286.6
4.17,24.32,1569797286.7
4.82,24.03,1569797286.8
5.63,23.89,1569797286.9
6.59,23.54,1569797287.0
7.68,23.27,1569797287.1
8.65,22.94,1569797287.2
9.69,22.69,1569797287.3
10.71,22.46,1569797287.4
11.78,22.18,1569797287.5
12.82,21.96,1569797287.6
13.78,21.63,1569797287.7
14.85,21.39,1569797287.8
15.97,21.03,1569797287.9
16.98,20.74,1569797288.0
17.78,20.43,1569797288.1
18.56,20.10,1569797288.2
19.32,19.89,1569797288.3
20.02,19.71,1569797288.4
20.66,19.59,1569797288.5
21.28,19.46,1569797288.6
21.78,19.32,1569797288.7
22.25,19.24,1569797288.8
22.68,19.18,1569797288.9
23.00,19.16,1569797289.0
23.23,19.13,1569797289.1
23.33,19.13,1569797289.2
23.46,19.14,1569797289.3
23.46,19.18,1569797289.4
23.36,19.16,1569797289.5
23.25,19.16,1569797289.6
23.16,19.13,1569797289.7
23.22,19.14,1569797289.8
23.27,19.15,1569797289.9
23.29,19.15,1569797290.0
23.31,19.17,1569797290.1
23.34,19.18,1569797290.2
23.39,19.17,1569797290.3
23.38,19.17,1569797290.4
23.29,19.14,1569797290.5
23.23,19.11,1569797290.6
23.13,19.07,1569797290.7
23.01,19.02,1569797290.8
22.70,19.08,1569797290.9
22.45,19.11,1569797291.0
22.17,19.15,1569797291.1
21.92,19.21,1569797291.2
21.68,19.27,1569797291.3
21.35,19.41,1569797291.4
21.06,19.49,1569797291.5
20.62,19.61,1569797291.6
20.27,19.79,1569797291.7
19.78,20.01,1569797291.8
19.27,20.26,1569797291.9
18.69,20.43,1569797292.0
18.07,20.69,1569797292.1
17.35,20.89,1569797292.2
16.42,21.14,1569797292.3
15.47,21.40,1569797292.4
14.30,21.71,1569797292.5
13.18,22.08,1569797292.6
12.04,22.42,1569797292.7
10.85,22.93,1569797292.8
9.90,23.33,1569797292.9
8.76,23.67,1569797293.0
7.75,23.94,1569797293.1
6.72,24.29,1569797293.2
5.87,24.54,1569797293.3
5.12,24.67,1569797293.4
4.22,24.83,1569797293.5
3.59,25.00,1569797293.6
3.05,25.18,1569797293.7
2.64,25.20,1569797293.8
2.13,25.23,1569797293.9
1.70,25.22,1569797294.0
1.41,25.19,1569797294.1
1.16,25.21,1569797294.2
0.95,25.18,1569797294.3
0.76,25.16,1569797294.4
0.65,25.16,1569797294.5
0.57,25.15,1569797294.6
0.51,25.14,1569797294.7
0.46,25.10,1569797294.8
0.44,25.04,1569797294.9
0.44,25.02,1569797295.0
0.51,24.99,1569797295.1
0.59,24.97,1569797295.2
0.75,25.04,1569797295.3
1.05,25.11,1569797295.4
1.54,25.17,1569797295.5
2.19,25.13,1569797295.6
3.00,25.09,1569797295.7
3.91,25.07,1569797295.8
4.90,24.93,1569797295.9
6.01,24.78,1569797296.0
7.18,24.62,1569797296.1
8.30,24.49,1569797296.2
9.40,24.41,1569797296.3
10.50,24.28,1569797296.4
11.65,24.13,1569797296.5
12.67,24.03,1569797296.6
13.51,24.03,1569797296.7
14.22,24.04,1569797296.8
14.74,24.03,1569797296.9
15.17,24.02,1569797297.0
15.38,24.09,1569797297.1
15.51,24.09,1569797297.2
15.54,24.01,1569797297.3
15.58,23.97,1569797297.4
15.61,23.91,1569797297.5
15.58,23.85,1569797297.6
15.65,23.78,1569797297.7
15.69,23.78,1569797297.8
15.74,23.80,1569797297.9
15.79,23.81,1569797298.0
15.80,23.85,1569797298.1
15.79,23.85,1569797298.2
15.69,23.83,1569797298.3
15.52,23.79,1569797298.4
15.23,23.69,1569797298.5
14.74,23.63,1569797298.6
14.28,23.54,1569797298.7
13.69,23.52,1569797298.8
12.84,23.44,1569797298.9
12.02,23.56,1569797299.0
11.10,23.71,1569797299.1
10.25,23.92,1569797299.2
9.24,24.18,1569797299.3
8.26,24.42,1569797299.4
7.39,24.70,1569797299.5
6.31,24.85,1569797299.6
5.32,24.96,1569797299.7
4.42,25.04,1569797299.8
3.59,25.03,1569797299.9
2.91,25.03,1569797300.0
2.42,25.03,1569797300.1
2.27,24.98,1569797300.2
2.31,24.95,1569797300.3
2.46,24.90,1569797300.4
2.76,24.88,1569797300.5
3.16,24.87,1569797300.6
3.56,24.86,1569797300.7
3.96,24.86,1569797300.8
4.36,24.85,1569797300.9
4.76,24.84,1569797301.0
5.16,24.83,1569797301.1
5.55,24.83,1569797301.2
5.95,24.82,1569797301.3
6.35,24.81,1569797301.4
6.75,24.80,1569797301.5
7.15,24.80,1569797301.6
7.55,24.79,1569797301.7
7.95,24.78,1569797301.8
8.35,24.77,1569797301.9
8.75,24.77,1569797302.0
9.15,24.76,1569797302.1
9.54,24.76,1569797302.2
9.94,24.75,1569797302.3
10.34,24.74,1569797302.4
10.74,24.73,1569797302.5
11.14,24.73,1569797302.6
11.54,24.72,1569797302.7
11.94,24.71,1569797302.8
12.34,24.70,1569797302.9
12.74,24.70,1569797303.0
13.14,24.69,1569797303.1
13.54,24.68,1569797303.2
13.93,24.67,1569797303.3
14.33,24.67,1569797303.4
14.73,24.66,1569797303.5
15.13,24.65,1569797303.6
15.53,24.64,1569797303.7
15.93,24.63,1569797303.8
16.33,24.63,1569797303.9
16.73,24.62,1569797304.0
17.13,24.61,1569797304.1
17.53,24.60,1569797304.2
17.92,24.60,1569797304.3
18.32,24.59,1569797304.4
18.72,24.58,1569797304.5
19.12,24.57,1569797304.6
19.52,24.57,1569797304.7
19.92,24.56,1569797304.8
20.32,24.55,1569797304.9
20.72,24.54,1569797305.0
21.12,24.54,1569797305.1
21.52,24.53,1569797305.2
21.91,24.53,1569797305.3
22.23,24.53,1569797305.4
22.39,24.49,1569797305.5
22.53,24.47,1569797305.6
22.55,24.45,1569797305.7
22.53,24.48,1569797305.8
22.46,24.47,1569797305.9
22.43,24.47,1569797306.0
22.43,24.44,1569797306.1
22.34,24.40,1569797306.2
22.38,24.35,1569797306.3
22.41,24.19,1569797306.4
22.29,24.01,1569797306.5
22.00,23.74,1569797306.6
21.70,23.54,1569797306.7
21.42,23.31,1569797306.8
21.05,23.08,1569797306.9
20.63,22.93,1569797307.0
20.33,22.85,1569797307.1
20.14,22.83,1569797307.2
20.01,22.83,1569797307.3
19.88,22.85,1569797307.4
19.74,22.87,1569797307.5
19.61,22.89,1569797307.6
19.48,22.92,1569797307.7
19.34,22.94,1569797307.8
19.21,22.96,1569797307.9
19.08,22.98,1569797308.0
18.94,23.00,1569797308.1
18.81,23.02,1569797308.2
18.67,23.05,1569797308.3
18.54,23.07,1569797308.4
18.40,23.09,1569797308.5
18.27,23.12,1569797308.6
18.14,23.14,1569797308.7
18.00,23.16,1569797308.8
17.87,23.18,1569797308.9
17.73,23.20,1569797309.0
17.60,23.22,1569797309.1
17.47,23.25,1569797309.2
17.33,23.27,1569797309.3
17.19,23.29,1569797309.4
17.06,23.32,1569797309.5
16.93,23.34,1569797309.6
16.79,23.36,1569797309.7
16.66,23.38,1569797309.8
16.53,23.41,1569797309.9
16.39,23.43,1569797310.0
16.26,23.45,1569797310.1
16.12,23.47,1569797310.2
15.99,23.49,1569797310.3
15.85,23.51,1569797310.4
15.72,23.54,1569797310.5
15.58,23.56,1569797310.6
15.45,23.58,1569797310.7
15.32,23.61,1569797310.8
15.18,23.63,1569797310.9
15.05,23.65,1569797311.0
14.92,23.67,1569797311.1
14.78,23.69,1569797311.2
14.64,23.71,1569797311.3
14.51,23.74,1569797311.4
14.38,23.76,1569797311.5
14.24,23.78,1569797311.6
14.11,23.80,1569797311.7
13.97,23.83,1569797311.8
13.84,23.85,1569797311.9
13.71,23.87,1569797312.0
13.57,23.90,1569797312.1
13.44,23.92,1569797312.2
13.30,23.94,1569797312.3
13.23,24.02,1569797312.4
13.20,24.00,1569797312.5
13.39,24.00,1569797312.6
13.60,24.08,1569797312.7
13.81,24.22,1569797312.8
14.06,24.36,1569797312.9
14.30,24.43,1569797313.0
14.59,24.59,1569797313.1
14.71,24.76,1569797313.2
14.89,24.86,1569797313.3
15.08,24.89,1569797313.4
15.28,24.98,1569797313.5
15.47,24.94,1569797313.6
15.55,24.95,1569797313.7
15.66,24.88,1569797313.8
15.72,24.80,1569797313.9
15.79,24.70,1569797314.0
15.81,24.55,1569797314.1
15.90,24.48,1569797314.2
16.00,24.39,1569797314.3
16.03,24.35,1569797314.4
16.02,24.33,1569797314.5
15.84,24.33,1569797314.6
15.71,24.27,1569797314.7
15.29,24.23,1569797314.8
14.73,24.16,1569797314.9
13.97,24.05,1569797315.0
13.07,23.97,1569797315.1
12.22,23.98,1569797315.2
11.27,24.10,1569797315.3
10.31,24.16,1569797315.4
9.41,24.26,1569797315.5
8.66,24.44,1569797315.6
7.95,24.60,1569797315.7
7.06,24.64,1569797315.8
6.00,24.61,1569797315.9
5.19,24.68,1569797316.0
4.43,24.77,1569797316.1
3.67,24.81,1569797316.2
2.92,24.86,1569797316.3
2.49,24.89,1569797316.4
2.18,24.95,1569797316.5
1.79,24.98,1569797316.6
1.42,24.97,1569797316.7
1.09,24.97,1569797316.8
0.84,24.95,1569797316.9
0.58,24.98,1569797317.0
0.46,25.01,1569797317.1
0.40,25.04,1569797317.2
0.37,25.07,1569797317.3
0.39,25.11,1569797317.4
0.46,25.11,1569797317.5
0.53,25.07,1569797317.6
0.78,25.00,1569797317.7
1.16,24.95,1569797317.8
1.52,24.93,1569797317.9
2.23,24.85,1569797318.0
3.08,24.73,1569797318.1
4.14,24.61,1569797318.2
5.11,24.51,1569797318.3
6.19,24.38,1569797318.4
7.50,24.24,1569797318.5
8.58,24.05,1569797318.6
9.72,23.86,1569797318.7
10.80,23.64,1569797318.8
12.05,23.40,1569797318.9
13.19,23.05,1569797319.0
14.23,22.63,1569797319.1
15.25,22.29,1569797319.2
16.22,22.01,1569797319.3
17.09,21.89,1569797319.4
17.75,21.80,1569797319.5
18.43,21.83,1569797319.6
19.08,21.97,1569797319.7
19.58,22.17,1569797319.8
19.96,22.44,1569797319.9
20.47,22.57,1569797320.0
20.98,22.78,1569797320.1
21.38,23.01,1569797320.2
21.68,23.21,1569797320.3
22.03,23.42,1569797320.4
22.47,23.65,1569797320.5
22.70,23.86,1569797320.6
22.89,23.95,1569797320.7
22.96,24.06,1569797320.8
23.04,24.17,1569797320.9
23.12,24.21,1569797321.0
23.06,24.15,1569797321.1
22.98,24.15,1569797321.2
22.87,24.21,1569797321.3
22.86,24.25,1569797321.4
22.88,24.26,1569797321.5
22.81,24.29,1569797321.6
22.75,24.30,1569797321.7
22.68,24.27,1569797321.8
22.63,24.18,1569797321.9
22.55,24.04,1569797322.0
22.42,23.87,1569797322.1
22.22,23.65,1569797322.2
21.83,23.49,1569797322.3
21.40,23.30,1569797322.4
20.83,23.08,1569797322.5
20.14,22.81,1569797322.6
19.28,22.73,1569797322.7
18.46,22.69,1569797322.8
17.68,22.64,1569797322.9
16.80,22.65,1569797323.0
15.97,22.76,1569797323.1
15.07,22.97,1569797323.2
14.20,23.02,1569797323.3
13.16,23.14,1569797323.4
12.22,23.25,1569797323.5
11.34,23.43,1569797323.6
10.39,23.60,1569797323.7
9.43,23.71,1569797323.8
8.52,23.76,1569797323.9
7.80,23.84,1569797324.0
6.97,23.93,1569797324.1
6.06,23.95,1569797324.2
5.30,24.05,1569797324.3
4.70,24.16,1569797324.4
4.07,24.31,1569797324.5
3.48,24.37,1569797324.6
2.98,24.50,1569797324.7
2.61,24.56,1569797324.8
2.16,24.57,1569797324.9
1.69,24.60,1569797325.0
1.33,24.65,1569797325.1
1.02,24.73,1569797325.2
0.78,24.73,1569797325.3
0.58,24.78,1569797325.4
0.48,24.81,1569797325.5
0.46,24.85,1569797325.6
0.47,24.87,1569797325.7
0.49,24.89,1569797325.8
0.50,24.90,1569797325.9
0.54,24.89,1569797326.0
0.75,24.89,1569797326.1
1.11,24.86,1569797326.2
1.62,24.78,1569797326.3
2.21,24.72,1569797326.4
2.93,24.50,1569797326.5
3.83,24.32,1569797326.6
4.67,24.06,1569797326.7
5.54,23.85,1569797326.8
6.44,23.61,1569797326.9
7.41,23.36,1569797327.0
8.36,23.26,1569797327.1
9.20,23.17,1569797327.2
10.00,23.21,1569797327.3
10.66,23.25,1569797327.4
11.14,23.28,1569797327.5
11.67,23.29,1569797327.6
12.18,23.42,1569797327.7
12.67,23.49,1569797327.8
13.19,23.50,1569797327.9
13.64,23.51,1569797328.0
14.14,23.76,1569797328.1
14.47,23.94,1569797328.2
14.80,23.93,1569797328.3
15.03,24.01,1569797328.4
15.29,24.13,1569797328.5
15.52,24.24,1569797328.6
15.59,24.17,1569797328.7
15.50,24.30,1569797328.8
15.49,24.46,1569797328.9
15.48,24.52,1569797329.0
15.35,24.57,1569797329.1
15.25,24.59,1569797329.2
15.29,24.65,1569797329.3
15.44,24.59,1569797329.4
15.52,24.61,1569797329.5
15.52,24.60,1569797329.6
15.53,24.55,1569797329.7
15.56,24.54,1569797329.8
15.57,24.50,1569797329.9
15.50,24.48,1569797330.0
15.42,24.36,1569797330.1
15.46,24.29,1569797330.2
15.44,24.21,1569797330.3
15.33,24.13,1569797330.4
15.17,24.04,1569797330.5
15.00,23.93,1569797330.6
14.69,23.89,1569797330.7
14.20,23.86,1569797330.8
13.72,23.87,1569797330.9
13.21,23.90,1569797331.0
12.68,23.94,1569797331.1
12.10,23.97,1569797331.2
11.37,24.01,1569797331.3
10.78,24.15,1569797331.4
10.01,24.25,1569797331.5
9.38,24.36,1569797331.6
8.59,24.47,1569797331.7
7.90,24.63,1569797331.8
7.38,24.79,1569797331.9
6.80,24.88,1569797332.0
6.30,24.96,1569797332.1
5.72,25.05,1569797332.2
5.25,25.18,1569797332.3
4.71,25.28,1569797332.4
4.16,25.30,1569797332.5
3.61,25.34,1569797332.6
3.11,25.38,1569797332.7
2.63,25.34,1569797332.8
2.19,25.28,1569797332.9
1.79,25.17,1569797333.0
1.43,25.17,1569797333.1
1.10,25.14,1569797333.2
0.82,25.11,1569797333.3
0.59,25.12,1569797333.4
0.43,25.12,1569797333.5
0.33,25.14,1569797333.6
0.25,25.11,1569797333.7
0.25,25.08,1569797333.8
0.29,25.08,1569797333.9
0.34,25.07,1569797334.0
0.46,25.07,1569797334.1
0.69,25.08,1569797334.2
0.98,25.06,1569797334.3
1.46,25.07,1569797334.4
2.23,25.06,1569797334.5
3.07,24.94,1569797334.6
4.00,24.77,1569797334.7
5.01,24.63,1569797334.8
5.92,24.45,1569797334.9
6.78,24.12,1569797335.0
7.57,23.80,1569797335.1
8.30,23.55,1569797335.2
8.99,23.34,1569797335.3
9.62,23.16,1569797335.4
10.31,23.03,1569797335.5
11.06,23.04,1569797335.6
11.64,23.09,1569797335.7
12.37,23.24,1569797335.8
12.96,23.36,1569797335.9
13.48,23.40,1569797336.0
14.04,23.49,1569797336.1
14.41,23.56,1569797336.2
14.70,23.56,1569797336.3
14.86,23.53,1569797336.4
14.97,23.51,1569797336.5
15.09,23.53,1569797336.6
15.21,23.56,1569797336.7
15.27,23.65,1569797336.8
15.41,23.82,1569797336.9
15.54,23.97,1569797337.0
15.72,24.19,1569797337.1
15.79,24.42,1569797337.2
15.82,24.50,1569797337.3
15.87,24.59,1569797337.4
15.86,24.58,1569797337.5
15.79,24.60,1569797337.6
15.76,24.51,1569797337.7
15.77,24.42,1569797337.8
15.77,24.47,1569797337.9
15.76,24.43,1569797338.0
15.80,24.40,1569797338.1
15.88,24.32,1569797338.2
15.93,24.31,1569797338.3
15.98,24.25,1569797338.4
15.92,24.20,1569797338.5
15.94,24.11,1569797338.6
15.81,24.02,1569797338.7
15.53,23.97,1569797338.8
15.23,23.89,1569797338.9
14.87,23.78,1569797339.0
14.43,23.62,1569797339.1
13.86,23.46,1569797339.2
13.25,23.28,1569797339.3
12.58,23.16,1569797339.4
11.82,23.05,1569797339.5
10.84,22.97,1569797339.6
10.09,23.06,1569797339.7
9.35,23.22,1569797339.8
8.56,23.48,1569797339.9
7.80,23.73,1569797340.0
7.09,23.99,1569797340.1
6.65,24.33,1569797340.2
6.04,24.53,1569797340.3
5.43,24.72,1569797340.4
4.89,24.84,1569797340.5
4.49,24.96,1569797340.6
4.04,25.07,1569797340.7
3.58,25.12,1569797340.8
3.17,25.15,1569797340.9
2.75,25.18,1569797341.0
2.33,25.24,1569797341.1
1.90,25.27,1569797341.2
1.53,25.28,1569797341.3
1.15,25.25,1569797341.4
0.85,25.20,1569797341.5
0.65,25.11,1569797341.6
0.54,25.00,1569797341.7
0.48,24.89,1569797341.8
0.46,24.80,1569797341.9
0.50,24.67,1569797342.0
0.53,24.57,1569797342.1
0.57,24.47,1569797342.2
0.65,24.33,1569797342.3
0.75,24.13,1569797342.4
0.91,23.92,1569797342.5
1.07,23.79,1569797342.6
1.25,23.67,1569797342.7
1.47,23.58,1569797342.8
1.70,23.53,1569797342.9
1.93,23.56,1569797343.0
2.14,23.61,1569797343.1
2.36,23.67,1569797343.2
2.61,23.71,1569797343.3
2.90,23.72,1569797343.4
3.21,23.70,1569797343.5
3.53,23.66,1569797343.6
3.82,23.60,1569797343.7
4.10,23.53,1569797343.8
4.33,23.50,1569797343.9
4.46,23.53,1569797344.0
4.50,23.63,1569797344.1
4.49,23.77,1569797344.2
4.27,24.06,1569797344.3
3.86,24.48,1569797344.4
3.57,24.65,1569797344.5
3.39,24.65,1569797344.6
3.29,24.62,1569797344.7
3.29,24.55,1569797344.8
3.53,24.32,1569797344.9
4.03,23.94,1569797345.0
4.44,23.82,1569797345.1
4.81,23.82,1569797345.2
5.19,23.83,1569797345.3
5.56,23.83,1569797345.4
5.94,23.84,1569797345.5
6.31,23.84,1569797345.6
6.68,23.85,1569797345.7
7.06,23.85,1569797345.8
7.43,23.85,1569797345.9
7.81,23.86,1569797346.0
8.18,23.87,1569797346.1
8.55,23.87,1569797346.2
8.92,23.88,1569797346.3
9.30,23.88,1569797346.4
9.67,23.88,1569797346.5
10.05,23.89,1569797346.6
10.42,23.90,1569797346.7
10.80,23.90,1569797346.8
11.17,23.91,1569797346.9
11.55,23.91,1569797347.0
11.92,23.91,1569797347.1
12.29,23.92,1569797347.2
12.67,23.93,1569797347.3
13.04,23.93,1569797347.4
13.42,23.94,1569797347.5
13.79,23.94,1569797347.6
14.16,23.94,1569797347.7
14.54,23.95,1569797347.8
14.91,23.95,1569797347.9
15.29,23.96,1569797348.0
15.66,23.97,1569797348.1
16.04,23.97,1569797348.2
16.41,23.97,1569797348.3
16.78,23.98,1569797348.4
17.16,23.98,1569797348.5
17.53,23.99,1569797348.6
17.91,24.00,1569797348.7
18.28,24.00,1569797348.8
18.65,24.00,1569797348.9
19.03,24.01,1569797349.0
19.40,24.01,1569797349.1
19.78,24.02,1569797349.2
20.15,24.03,1569797349.3
20.52,24.03,1569797349.4
20.90,24.03,1569797349.5
21.27,24.04,1569797349.6
21.61,24.06,1569797349.7
21.84,24.17,1569797349.8
22.02,24.29,1569797349.9
22.14,24.42,1569797350.0
22.19,24.52,1569797350.1
22.16,24.65,1569797350.2
22.09,24.74,1569797350.3
22.09,24.75,1569797350.4
22.10,24.75,1569797350.5
22.06,24.72,1569797350.6
22.09,24.76,1569797350.7
22.14,24.76,1569797350.8
22.21,24.76,1569797350.9
22.22,24.74,1569797351.0
22.22,24.73,1569797351.1
22.27,24.74,1569797351.2
22.29,24.71,1569797351.3
22.38,24.66,1569797351.4
22.51,24.64,1569797351.5
22.65,24.62,1569797351.6
22.77,24.62,1569797351.7
22.84,24.62,1569797351.8
22.89,24.60,1569797351.9
22.84,24.64,1569797352.0
22.75,24.68,1569797352.1
22.71,24.68,1569797352.2
22.71,24.69,1569797352.3
22.69,24.67,1569797352.4
22.69,24.66,1569797352.5
22.73,24.61,1569797352.6
22.81,24.52,1569797352.7
22.80,24.51,1569797352.8
22.75,24.44,1569797352.9
22.74,24.35,1569797353.0
22.69,24.21,1569797353.1
22.52,24.09,1569797353.2
22.28,24.01,1569797353.3
22.09,23.86,1569797353.4
21.94,23.73,1569797353.5
21.89,23.59,1569797353.6
21.80,23.58,1569797353.7
21.85,23.63,1569797353.8
21.91,23.60,1569797353.9
21.94,23.60,1569797354.0
22.01,23.68,1569797354.1
22.02,23.85,1569797354.2
22.08,23.99,1569797354.3
22.14,24.07,1569797354.4
22.21,24.22,1569797354.5
22.31,24.36,1569797354.6
22.40,24.47,1569797354.7
22.43,24.51,1569797354.8
22.48,24.50,1569797354.9
22.47,24.49,1569797355.0
22.42,24.50,1569797355.1
22.40,24.50,1569797355.2
22.37,24.47,1569797355.3
22.36,24.47,1569797355.4
22.34,24.48,1569797355.5
22.31,24.47,1569797355.6
22.34,24.41,1569797355.7
22.41,24.30,1569797355.8
22.41,24.11,1569797355.9
22.28,23.95,1569797356.0
22.09,23.74,1569797356.1
21.79,23.51,1569797356.2
21.49,23.22,1569797356.3
21.08,23.01,1569797356.4
20.69,22.77,1569797356.5
20.32,22.53,1569797356.6
19.97,22.33,1569797356.7
19.76,22.02,1569797356.8
19.55,21.73,1569797356.9
19.40,21.38,1569797357.0
19.23,21.10,1569797357.1
19.23,20.73,1569797357.2
19.21,20.35,1569797357.3
19.17,20.04,1569797357.4
19.11,19.79,1569797357.5
19.07,19.59,1569797357.6
19.00,19.36,1569797357.7
18.95,19.18,1569797357.8
