x,y,time
5.12,17.58,1569689356.5
5.08,17.58,1569689356.6
5.09,17.54,1569689356.7
5.08,17.55,1569689356.8
5.05,17.56,1569689356.9
4.99,17.61,1569689357.0
5.03,17.57,1569689357.1
5.05,17.58,1569689357.2
5.06,17.57,1569689357.3
5.12,17.54,1569689357.4
5.15,17.53,1569689357.5
5.11,17.46,1569689357.6
5.10,17.47,1569689357.7
5.08,17.47,1569689357.8
5.04,17.46,1569689357.9
4.98,17.47,1569689358.0
4.96,17.44,1569689358.1
5.02,17.48,1569689358.2
5.05,17.49,1569689358.3
5.06,17.49,1569689358.4
5.07,17.48,1569689358.5
5.08,17.46,1569689358.6
5.09,17.49,1569689358.7
5.04,17.47,1569689358.8
4.97,17.46,1569689358.9
4.95,17.42,1569689359.0
4.96,17.48,1569689359.1
5.02,17.56,1569689359.2
4.96,17.55,1569689359.3
4.98,17.59,1569689359.4
5.08,17.66,1569689359.5
5.08,17.71,1569689359.6
5.25,17.69,1569689359.7
5.52,17.66,1569689359.8
5.95,17.64,1569689359.9
6.35,17.65,1569689360.0
6.78,17.59,1569689360.1
7.45,17.61,1569689360.2
7.97,17.71,1569689360.3
8.43,17.80,1569689360.4
8.87,18.12,1569689360.5
9.39,18.50,1569689360.6
9.80,18.96,1569689360.7
10.10,19.42,1569689360.8
10.56,19.89,1569689360.9
11.02,20.45,1569689361.0
11.49,20.96,1569689361.1
11.83,21.44,1569689361.2
12.28,21.89,1569689361.3
12.72,22.38,1569689361.4
13.03,22.83,1569689361.5
13.23,23.18,1569689361.6
13.38,23.49,1569689361.7
13.55,23.69,1569689361.8
13.64,23.86,1569689361.9
13.78,23.99,1569689362.0
13.81,24.09,1569689362.1
13.87,24.22,1569689362.2
13.98,24.32,1569689362.3
14.11,24.44,1569689362.4
14.30,24.55,1569689362.5
14.29,24.60,1569689362.6
14.31,24.64,1569689362.7
14.31,24.64,1569689362.8
14.31,24.60,1569689362.9
14.27,24.57,1569689363.0
14.18,24.55,1569689363.1
14.15,24.54,1569689363.2
14.16,24.51,1569689363.3
14.22,24.52,1569689363.4
14.25,24.50,1569689363.5
14.22,24.46,1569689363.6
14.20,24.46,1569689363.7
14.24,24.43,1569689363.8
14.24,24.44,1569689363.9
14.18,24.41,1569689364.0
14.11,24.44,1569689364.1
14.14,24.42,1569689364.2
14.10,24.42,1569689364.3
14.01,24.35,1569689364.4
13.85,24.18,1569689364.5
13.62,24.08,1569689364.6
13.33,23.87,1569689364.7
12.92,23.73,1569689364.8
12.44,23.51,1569689364.9
11.70,23.29,1569689365.0
10.96,23.21,1569689365.1
10.26,23.19,1569689365.2
9.47,23.32,1569689365.3
8.79,23.38,1569689365.4
8.03,23.56,1569689365.5
7.32,23.90,1569689365.6
6.55,24.16,1569689365.7
5.81,24.41,1569689365.8
5.23,24.54,1569689365.9
4.61,24.71,1569689366.0
4.17,24.80,1569689366.1
3.97,24.87,1569689366.2
3.79,24.89,1569689366.3
3.60,24.84,1569689366.4
3.35,24.84,1569689366.5
3.09,24.80,1569689366.6
2.79,24.78,1569689366.7
2.36,24.74,1569689366.8
1.98,24.79,1569689366.9
1.57,24.85,1569689367.0
1.21,24.88,1569689367.1
0.87,24.96,1569689367.2
0.61,25.03,1569689367.3
0.47,25.07,1569689367.4
0.38,25.08,1569689367.5
0.37,25.10,1569689367.6
0.37,25.11,1569689367.7
0.38,25.14,1569689367.8
0.39,25.15,1569689367.9
0.41,25.16,1569689368.0
0.42,25.17,1569689368.1
0.43,25.18,1569689368.2
0.43,25.19,1569689368.3
0.44,25.16,1569689368.4
0.48,25.17,1569689368.5
0.64,25.15,1569689368.6
0.85,25.14,1569689368.7
1.18,25.08,1569689368.8
1.63,24.99,1569689368.9
2.04,24.96,1569689369.0
2.57,24.86,1569689369.1
3.15,24.76,1569689369.2
3.75,24.68,1569689369.3
4.42,24.46,1569689369.4
5.08,24.28,1569689369.5
5.81,24.05,1569689369.6
6.43,23.85,1569689369.7
7.21,23.58,1569689369.8
8.09,23.35,1569689369.9
8.89,23.22,1569689370.0
9.82,23.04,1569689370.1
10.74,22.80,1569689370.2
11.91,22.58,1569689370.3
12.90,22.41,1569689370.4
13.90,22.16,1569689370.5
14.90,21.91,1569689370.6
15.76,21.79,1569689370.7
16.79,21.76,1569689370.8
17.72,21.78,1569689370.9
18.61,21.86,1569689371.0
19.46,21.96,1569689371.1
20.30,22.18,1569689371.2
21.12,22.42,1569689371.3
21.77,22.71,1569689371.4
22.32,22.97,1569689371.5
22.76,23.26,1569689371.6
23.09,23.56,1569689371.7
23.23,23.86,1569689371.8
23.40,24.08,1569689371.9
23.49,24.26,1569689372.0
23.55,24.40,1569689372.1
23.56,24.49,1569689372.2
23.52,24.55,1569689372.3
23.58,24.61,1569689372.4
23.58,24.65,1569689372.5
23.58,24.64,1569689372.6
23.57,24.61,1569689372.7
23.65,24.58,1569689372.8
23.73,24.55,1569689372.9
23.73,24.50,1569689373.0
23.73,24.46,1569689373.1
23.79,24.41,1569689373.2
23.82,24.42,1569689373.3
23.84,24.42,1569689373.4
23.82,24.39,1569689373.5
23.84,24.40,1569689373.6
23.83,24.43,1569689373.7
23.77,24.47,1569689373.8
23.74,24.49,1569689373.9
23.65,24.54,1569689374.0
23.60,24.60,1569689374.1
23.53,24.64,1569689374.2
23.49,24.66,1569689374.3
23.51,24.64,1569689374.4
23.47,24.59,1569689374.5
23.45,24.56,1569689374.6
23.46,24.52,1569689374.7
23.51,24.52,1569689374.8
23.51,24.51,1569689374.9
23.44,24.53,1569689375.0
23.42,24.61,1569689375.1
23.42,24.64,1569689375.2
23.42,24.66,1569689375.3
23.40,24.57,1569689375.4
23.41,24.45,1569689375.5
23.37,24.32,1569689375.6
23.26,24.12,1569689375.7
23.13,23.77,1569689375.8
22.78,23.42,1569689375.9
22.30,23.11,1569689376.0
21.76,22.78,1569689376.1
21.07,22.48,1569689376.2
20.38,22.16,1569689376.3
19.54,22.03,1569689376.4
18.91,21.88,1569689376.5
18.28,21.72,1569689376.6
17.58,21.72,1569689376.7
16.87,21.73,1569689376.8
15.98,21.86,1569689376.9
15.07,22.04,1569689377.0
13.99,22.37,1569689377.1
12.79,22.77,1569689377.2
11.60,23.05,1569689377.3
10.37,23.42,1569689377.4
9.20,23.70,1569689377.5
8.06,23.97,1569689377.6
6.95,24.12,1569689377.7
5.97,24.30,1569689377.8
5.02,24.48,1569689377.9
4.30,24.56,1569689378.0
3.67,24.65,1569689378.1
3.10,24.72,1569689378.2
2.82,24.77,1569689378.3
2.66,24.78,1569689378.4
2.64,24.82,1569689378.5
2.70,24.78,1569689378.6
2.94,24.75,1569689378.7
3.30,24.72,1569689378.8
3.62,24.70,1569689378.9
3.94,24.69,1569689379.0
4.29,24.61,1569689379.1
4.62,24.60,1569689379.2
4.80,24.61,1569689379.3
4.91,24.60,1569689379.4
5.00,24.56,1569689379.5
5.01,24.51,1569689379.6
4.89,24.48,1569689379.7
4.73,24.42,1569689379.8
4.73,24.31,1569689379.9
4.70,24.15,1569689380.0
4.49,24.02,1569689380.1
4.29,23.83,1569689380.2
4.06,23.65,1569689380.3
3.88,23.37,1569689380.4
3.55,23.08,1569689380.5
3.33,22.76,1569689380.6
3.25,22.46,1569689380.7
3.26,22.16,1569689380.8
3.26,21.90,1569689380.9
3.24,21.80,1569689381.0
3.28,21.85,1569689381.1
3.25,22.01,1569689381.2
3.17,22.23,1569689381.3
3.13,22.64,1569689381.4
3.35,23.04,1569689381.5
3.65,23.44,1569689381.6
4.13,23.69,1569689381.7
4.65,23.90,1569689381.8
5.37,24.06,1569689381.9
6.16,24.06,1569689382.0
6.97,23.98,1569689382.1
7.75,23.85,1569689382.2
8.41,23.76,1569689382.3
9.21,23.67,1569689382.4
9.94,23.54,1569689382.5
10.71,23.40,1569689382.6
11.48,23.40,1569689382.7
12.26,23.34,1569689382.8
13.19,23.26,1569689382.9
14.07,23.15,1569689383.0
14.98,23.07,1569689383.1
15.78,22.97,1569689383.2
16.43,22.81,1569689383.3
17.00,22.71,1569689383.4
17.34,22.65,1569689383.5
17.54,22.60,1569689383.6
17.62,22.56,1569689383.7
17.63,22.56,1569689383.8
17.68,22.57,1569689383.9
17.69,22.58,1569689384.0
17.71,22.58,1569689384.1
17.72,22.57,1569689384.2
17.75,22.58,1569689384.3
17.76,22.58,1569689384.4
17.69,22.57,1569689384.5
17.73,22.59,1569689384.6
17.72,22.57,1569689384.7
17.68,22.58,1569689384.8
17.69,22.54,1569689384.9
17.68,22.57,1569689385.0
17.72,22.55,1569689385.1
17.69,22.55,1569689385.2
17.70,22.59,1569689385.3
17.68,22.63,1569689385.4
17.59,22.72,1569689385.5
17.48,22.71,1569689385.6
17.32,22.77,1569689385.7
17.03,22.77,1569689385.8
16.70,22.81,1569689385.9
16.40,22.76,1569689386.0
16.03,22.68,1569689386.1
15.66,22.64,1569689386.2
15.20,22.63,1569689386.3
14.77,22.62,1569689386.4
14.31,22.53,1569689386.5
13.87,22.49,1569689386.6
13.33,22.46,1569689386.7
12.74,22.43,1569689386.8
12.20,22.28,1569689386.9
11.56,22.19,1569689387.0
10.83,22.09,1569689387.1
9.98,22.05,1569689387.2
9.12,21.97,1569689387.3
8.11,21.86,1569689387.4
7.26,21.75,1569689387.5
6.43,21.64,1569689387.6
5.70,21.53,1569689387.7
4.98,21.35,1569689387.8
4.45,21.16,1569689387.9
4.16,21.01,1569689388.0
3.67,20.96,1569689388.1
3.37,20.87,1569689388.2
3.16,20.78,1569689388.3
2.99,20.76,1569689388.4
2.95,20.75,1569689388.5
2.96,20.77,1569689388.6
3.12,20.78,1569689388.7
3.22,20.85,1569689388.8
3.47,20.95,1569689388.9
3.99,21.04,1569689389.0
4.43,21.21,1569689389.1
4.96,21.37,1569689389.2
5.59,21.50,1569689389.3
6.34,21.61,1569689389.4
7.04,21.78,1569689389.5
7.73,21.95,1569689389.6
8.49,22.07,1569689389.7
9.18,22.16,1569689389.8
9.91,22.19,1569689389.9
10.63,22.31,1569689390.0
11.51,22.29,1569689390.1
12.38,22.34,1569689390.2
13.25,22.34,1569689390.3
14.15,22.32,1569689390.4
15.02,22.39,1569689390.5
15.86,22.33,1569689390.6
16.52,22.41,1569689390.7
16.95,22.41,1569689390.8
17.28,22.47,1569689390.9
17.58,22.58,1569689391.0
17.68,22.65,1569689391.1
17.75,22.70,1569689391.2
17.80,22.73,1569689391.3
17.89,22.76,1569689391.4
17.95,22.76,1569689391.5
17.94,22.75,1569689391.6
17.98,22.75,1569689391.7
18.02,22.79,1569689391.8
17.98,22.84,1569689391.9
17.95,22.85,1569689392.0
17.91,22.90,1569689392.1
17.90,22.88,1569689392.2
17.86,22.92,1569689392.3
17.85,22.93,1569689392.4
17.84,22.87,1569689392.5
17.88,22.87,1569689392.6
17.87,22.83,1569689392.7
17.91,22.84,1569689392.8
17.91,22.78,1569689392.9
17.84,22.74,1569689393.0
17.69,22.69,1569689393.1
17.43,22.66,1569689393.2
17.08,22.62,1569689393.3
16.56,22.51,1569689393.4
15.86,22.45,1569689393.5
14.99,22.32,1569689393.6
14.10,22.18,1569689393.7
13.06,22.08,1569689393.8
12.11,22.06,1569689393.9
11.11,22.08,1569689394.0
10.10,22.09,1569689394.1
9.27,22.28,1569689394.2
8.36,22.58,1569689394.3
7.43,23.00,1569689394.4
6.60,23.31,1569689394.5
5.82,23.78,1569689394.6
5.18,24.25,1569689394.7
4.54,24.54,1569689394.8
3.97,24.81,1569689394.9
3.65,24.90,1569689395.0
3.26,25.06,1569689395.1
2.91,25.07,1569689395.2
2.49,25.04,1569689395.3
2.04,25.09,1569689395.4
1.69,25.13,1569689395.5
1.28,25.06,1569689395.6
0.94,25.03,1569689395.7
0.64,25.02,1569689395.8
0.52,25.07,1569689395.9
0.45,25.11,1569689396.0
0.41,25.16,1569689396.1
0.49,25.23,1569689396.2
0.58,25.24,1569689396.3
0.80,25.23,1569689396.4
1.08,25.17,1569689396.5
1.33,25.15,1569689396.6
1.66,25.07,1569689396.7
2.00,25.08,1569689396.8
2.30,25.07,1569689396.9
2.48,25.12,1569689397.0
2.64,25.18,1569689397.1
2.83,25.21,1569689397.2
2.90,25.21,1569689397.3
2.83,25.16,1569689397.4
2.64,25.19,1569689397.5
2.61,25.21,1569689397.6
2.42,25.21,1569689397.7
2.26,25.20,1569689397.8
2.09,25.20,1569689397.9
2.02,25.24,1569689398.0
1.90,25.22,1569689398.1
1.70,25.14,1569689398.2
1.58,25.11,1569689398.3
1.39,25.09,1569689398.4
1.25,25.07,1569689398.5
1.03,25.04,1569689398.6
0.92,25.02,1569689398.7
0.80,25.02,1569689398.8
0.70,25.02,1569689398.9
0.60,25.07,1569689399.0
0.45,25.10,1569689399.1
0.35,25.17,1569689399.2
0.33,25.24,1569689399.3
0.29,25.30,1569689399.4
0.27,25.33,1569689399.5
0.36,25.31,1569689399.6
0.55,25.28,1569689399.7
0.87,25.23,1569689399.8
1.24,25.19,1569689399.9
1.54,25.18,1569689400.0
1.96,25.21,1569689400.1
2.36,25.22,1569689400.2
2.79,25.28,1569689400.3
3.45,25.35,1569689400.4
4.19,25.42,1569689400.5
5.16,25.36,1569689400.6
6.19,25.24,1569689400.7
7.38,25.07,1569689400.8
8.42,24.82,1569689400.9
9.13,24.51,1569689401.0
10.10,24.09,1569689401.1
11.00,23.72,1569689401.2
11.86,23.27,1569689401.3
12.69,22.94,1569689401.4
13.67,22.63,1569689401.5
14.73,22.27,1569689401.6
15.38,21.97,1569689401.7
16.09,21.81,1569689401.8
16.76,21.70,1569689401.9
17.45,21.67,1569689402.0
18.18,21.56,1569689402.1
18.87,21.58,1569689402.2
19.66,21.61,1569689402.3
20.38,21.61,1569689402.4
20.99,21.69,1569689402.5
21.49,21.79,1569689402.6
21.85,22.03,1569689402.7
