x,y,time
5.00,17.51,1569707809.5
5.05,17.58,1569707809.6
5.02,17.59,1569707809.7
5.01,17.60,1569707809.8
4.97,17.61,1569707809.9
4.95,17.59,1569707810.0
4.97,17.58,1569707810.1
4.98,17.52,1569707810.2
5.02,17.54,1569707810.3
5.01,17.54,1569707810.4
4.97,17.54,1569707810.5
4.95,17.57,1569707810.6
4.93,17.58,1569707810.7
4.96,17.55,1569707810.8
4.91,17.52,1569707810.9
4.94,17.50,1569707811.0
4.89,17.48,1569707811.1
4.90,17.46,1569707811.2
4.95,17.44,1569707811.3
4.95,17.49,1569707811.4
5.00,17.49,1569707811.5
4.99,17.54,1569707811.6
5.04,17.58,1569707811.7
4.99,17.60,1569707811.8
4.92,17.59,1569707811.9
4.85,17.59,1569707812.0
4.84,17.63,1569707812.1
4.85,17.62,1569707812.2
4.84,17.69,1569707812.3
4.94,17.71,1569707812.4
5.09,17.75,1569707812.5
5.27,17.74,1569707812.6
5.52,17.70,1569707812.7
5.98,17.68,1569707812.8
6.48,17.60,1569707812.9
7.01,17.55,1569707813.0
7.65,17.50,1569707813.1
8.24,17.58,1569707813.2
8.84,17.65,1569707813.3
9.28,17.78,1569707813.4
9.64,18.07,1569707813.5
10.11,18.36,1569707813.6
10.53,18.75,1569707813.7
10.92,19.09,1569707813.8
11.32,19.54,1569707813.9
11.66,20.03,1569707814.0
12.05,20.49,1569707814.1
12.19,21.13,1569707814.2
12.31,21.74,1569707814.3
12.54,22.39,1569707814.4
12.70,23.00,1569707814.5
12.95,23.63,1569707814.6
13.20,24.13,1569707814.7
13.46,24.50,1569707814.8
13.69,24.81,1569707814.9
13.85,24.99,1569707815.0
13.88,25.10,1569707815.1
13.89,25.15,1569707815.2
14.01,25.23,1569707815.3
14.11,25.24,1569707815.4
14.11,25.26,1569707815.5
14.15,25.27,1569707815.6
14.25,25.33,1569707815.7
14.39,25.29,1569707815.8
14.36,25.25,1569707815.9
14.33,25.26,1569707816.0
14.33,25.22,1569707816.1
14.36,25.18,1569707816.2
14.34,25.14,1569707816.3
14.26,25.18,1569707816.4
14.26,25.18,1569707816.5
14.28,25.16,1569707816.6
14.31,25.20,1569707816.7
14.29,25.17,1569707816.8
14.29,25.19,1569707816.9
14.34,25.13,1569707817.0
14.37,25.14,1569707817.1
14.40,25.11,1569707817.2
14.41,25.13,1569707817.3
14.37,25.21,1569707817.4
14.27,25.19,1569707817.5
14.19,25.16,1569707817.6
13.95,25.00,1569707817.7
13.63,24.86,1569707817.8
13.22,24.63,1569707817.9
12.84,24.38,1569707818.0
12.49,24.17,1569707818.1
11.96,23.99,1569707818.2
11.38,23.80,1569707818.3
10.63,23.56,1569707818.4
9.95,23.49,1569707818.5
9.16,23.44,1569707818.6
8.29,23.47,1569707818.7
7.54,23.53,1569707818.8
6.77,23.68,1569707818.9
6.15,23.94,1569707819.0
5.46,24.11,1569707819.1
4.87,24.26,1569707819.2
4.32,24.39,1569707819.3
3.74,24.50,1569707819.4
3.27,24.64,1569707819.5
2.93,24.71,1569707819.6
2.61,24.75,1569707819.7
2.29,24.85,1569707819.8
1.92,24.95,1569707819.9
1.54,25.02,1569707820.0
1.25,25.06,1569707820.1
0.96,25.16,1569707820.2
0.71,25.19,1569707820.3
0.51,25.20,1569707820.4
0.41,25.19,1569707820.5
0.39,25.18,1569707820.6
0.38,25.18,1569707820.7
0.36,25.15,1569707820.8
0.38,25.16,1569707820.9
0.39,25.14,1569707821.0
0.40,25.14,1569707821.1
0.45,25.12,1569707821.2
0.51,25.16,1569707821.3
0.63,25.18,1569707821.4
0.83,25.18,1569707821.5
1.07,25.20,1569707821.6
1.38,25.19,1569707821.7
1.67,25.25,1569707821.8
2.13,25.15,1569707821.9
2.67,25.03,1569707822.0
3.25,24.88,1569707822.1
3.84,24.70,1569707822.2
4.53,24.45,1569707822.3
5.37,24.09,1569707822.4
6.00,23.87,1569707822.5
6.68,23.61,1569707822.6
7.46,23.28,1569707822.7
8.41,22.93,1569707822.8
9.31,22.71,1569707822.9
10.11,22.43,1569707823.0
11.09,22.23,1569707823.1
12.18,22.03,1569707823.2
