x,y,time
49.24,17.59,1569779981.2
49.11,17.59,1569779981.3
49.07,17.65,1569779981.4
49.07,17.65,1569779981.5
49.07,17.62,1569779981.6
49.12,17.64,1569779981.7
49.10,17.59,1569779981.8
49.22,17.55,1569779981.9
49.25,17.52,1569779982.0
49.25,17.53,1569779982.1
49.25,17.56,1569779982.2
49.19,17.53,1569779982.3
49.19,17.57,1569779982.4
49.17,17.62,1569779982.5
49.17,17.65,1569779982.6
49.14,17.68,1569779982.7
49.17,17.67,1569779982.8
49.25,17.73,1569779982.9
49.29,17.71,1569779983.0
49.30,17.71,1569779983.1
49.25,17.70,1569779983.2
49.26,17.69,1569779983.3
49.26,17.73,1569779983.4
49.23,17.71,1569779983.5
49.17,17.73,1569779983.6
49.18,17.76,1569779983.7
49.20,17.75,1569779983.8
49.19,17.73,1569779983.9
49.10,17.71,1569779984.0
49.03,17.71,1569779984.1
48.84,17.74,1569779984.2
48.58,17.75,1569779984.3
48.32,17.78,1569779984.4
47.91,17.79,1569779984.5
47.46,17.82,1569779984.6
46.88,17.82,1569779984.7
46.43,17.77,1569779984.8
46.06,17.87,1569779984.9
45.64,18.01,1569779985.0
45.15,18.22,1569779985.1
45.05,18.67,1569779985.2
44.82,19.12,1569779985.3
44.53,19.60,1569779985.4
44.06,20.02,1569779985.5
43.76,20.43,1569779985.6
43.60,20.99,1569779985.7
42.99,21.31,1569779985.8
42.49,21.71,1569779985.9
42.17,22.22,1569779986.0
41.88,22.75,1569779986.1
41.57,23.32,1569779986.2
41.02,23.57,1569779986.3
40.64,23.87,1569779986.4
40.36,24.16,1569779986.5
39.98,24.33,1569779986.6
39.68,24.46,1569779986.7
39.34,24.53,1569779986.8
39.23,24.71,1569779986.9
39.14,24.79,1569779987.0
39.11,24.86,1569779987.1
39.14,24.93,1569779987.2
39.12,24.93,1569779987.3
39.11,24.89,1569779987.4
39.17,24.85,1569779987.5
39.20,24.86,1569779987.6
39.20,24.87,1569779987.7
39.12,24.86,1569779987.8
39.13,24.85,1569779987.9
39.12,24.86,1569779988.0
39.07,24.91,1569779988.1
39.09,24.90,1569779988.2
39.11,24.94,1569779988.3
39.11,24.94,1569779988.4
39.13,24.93,1569779988.5
39.18,24.92,1569779988.6
39.25,24.87,1569779988.7
39.29,24.87,1569779988.8
39.35,24.80,1569779988.9
39.48,24.76,1569779989.0
39.61,24.73,1569779989.1
39.74,24.70,1569779989.2
39.87,24.67,1569779989.3
40.00,24.65,1569779989.4
40.13,24.62,1569779989.5
40.26,24.59,1569779989.6
40.39,24.57,1569779989.7
40.52,24.54,1569779989.8
40.65,24.51,1569779989.9
40.78,24.49,1569779990.0
40.91,24.46,1569779990.1
41.04,24.43,1569779990.2
41.17,24.40,1569779990.3
41.30,24.38,1569779990.4
41.43,24.35,1569779990.5
41.56,24.32,1569779990.6
41.69,24.30,1569779990.7
41.82,24.27,1569779990.8
41.95,24.24,1569779990.9
42.08,24.21,1569779991.0
42.21,24.19,1569779991.1
42.34,24.16,1569779991.2
42.47,24.13,1569779991.3
42.61,24.11,1569779991.4
42.74,24.08,1569779991.5
42.87,24.05,1569779991.6
43.00,24.02,1569779991.7
43.13,24.00,1569779991.8
43.26,23.97,1569779991.9
43.39,23.94,1569779992.0
43.52,23.92,1569779992.1
43.65,23.89,1569779992.2
43.78,23.86,1569779992.3
43.91,23.83,1569779992.4
44.04,23.81,1569779992.5
44.17,23.78,1569779992.6
44.30,23.75,1569779992.7
44.43,23.73,1569779992.8
44.56,23.70,1569779992.9
44.69,23.67,1569779993.0
44.82,23.64,1569779993.1
44.95,23.62,1569779993.2
45.08,23.59,1569779993.3
45.21,23.56,1569779993.4
45.33,23.53,1569779993.5
45.47,23.51,1569779993.6
45.59,23.48,1569779993.7
45.55,23.48,1569779993.8
45.21,23.41,1569779993.9
44.77,23.41,1569779994.0
44.07,23.22,1569779994.1
43.21,23.09,1569779994.2
42.17,22.90,1569779994.3
41.19,22.72,1569779994.4
40.30,22.51,1569779994.5
39.35,22.22,1569779994.6
